Wall time,Step,Value
1650170092.7782347,58,0.0
1650170304.876175,10089,0.0
1650170560.37179,20125,0.0
1650170813.6290464,30271,0.0
1650171041.0402193,40388,0.0
1650171245.4392552,50527,0.0
1650171500.3207164,60601,0.0
1650171771.0314767,70612,0.0
1650172146.8307953,80638,0.0
1650172565.7163265,90666,0.0
1650172982.788674,100670,0.0
1650173407.5244281,110684,0.0
1650173825.7583354,120704,0.21875
1650174233.3943715,130732,0.0
1650174639.022444,140732,0.0
1650175037.8897333,150741,0.0
1650175427.1542556,160759,0.09375
1650175806.164862,170773,0.46875
1650176194.8128362,180779,0.125
1650176556.4452972,190802,0.21875
1650176927.6043525,200807,0.5625
1650177296.8882737,210817,0.375
1650177647.220143,220840,0.0
1650177993.6418326,230845,0.09375
1650178345.8255591,240868,0.1875
1650178694.0699716,250887,0.0
1650179040.0499988,260903,0.1875
1650179383.9482265,270926,0.09375
1650179697.86594,280938,0.1875
1650179939.9771483,290956,0.25
1650180113.5224066,300987,0.71875
1650180267.7272983,311004,0.03125
1650180420.3311467,321033,0.5
1650180570.5643835,331036,0.0
1650180721.3565483,341045,0.0
1650180884.4115024,351067,0.3125
1650181028.7035065,361098,0.375
1650181169.987199,371142,0.90625
1650181312.94538,381163,0.875
1650181456.267186,391169,0.90625
1650181598.7178898,401196,0.90625
1650181746.4332175,411205,0.8125
1650181888.0740495,421237,1.0
1650182030.3902876,431279,0.59375
1650182171.8063579,441284,0.53125
1650182313.8343017,451294,0.8125
1650182457.1970432,461310,0.875
1650182607.8583653,471336,0.90625
1650182751.6612515,481372,0.84375
1650182892.7499456,491409,0.125
1650183034.0397394,501414,0.28125
1650183176.5323582,511457,0.4375
1650183325.0396852,521470,0.03125
1650183467.6732645,531494,0.21875
1650183610.001458,541531,0.59375
1650183751.501478,551554,0.25
1650183892.6385942,561579,0.0
1650184035.644879,571621,0.84375
1650184182.6388595,581640,0.375
1650184324.6328144,591680,0.4375
1650184465.2967908,601687,0.625
1650184609.1185691,611713,0.6875
1650184751.701717,621721,0.375
1650184896.186535,631743,0.78125
1650185046.5689685,641754,0.9375
1650185191.0725312,651784,0.6875
1650185334.4038749,661807,0.9375
1650185478.0678194,671817,0.75
1650185621.398835,681824,0.65625
1650185772.2479348,691855,0.96875
1650185924.6984496,701896,0.9375
1650186072.116949,711933,0.84375
1650186221.6238835,721947,0.90625
1650186371.5066245,731961,0.96875
1650186523.3875945,742006,0.96875
1650186681.7773554,752028,1.0
1650186838.8073819,762057,0.90625
1650186991.550546,772086,1.0
1650187139.0956438,782099,1.0
1650187285.8156383,792119,0.9375
1650187432.0868857,802138,1.0
1650187594.2918432,812143,1.0
1650187748.4630287,822156,1.0
1650187895.2832508,832195,0.9375
1650188041.83013,842212,1.0
1650188189.6512632,852241,1.0
1650188340.0667808,862279,1.0
1650188508.6907322,872300,1.0
1650188661.0511513,882337,1.0
1650188809.0310223,892356,1.0
1650188958.66993,902356,1.0
1650189104.4446268,912361,0.9375
1650189265.4513235,922389,1.0
1650189429.4912398,932402,0.96875
1650189577.9404838,942413,1.0
1650189725.760633,952450,0.9375
1650189876.1985261,962469,0.9375
1650190021.588535,972474,0.96875
1650190184.4569948,982498,1.0
1650190340.6081338,992530,0.9375
