Wall time,Step,Value
1650294869.7751596,33,0.0
1650295421.6230187,10038,0.0
1650295986.7229824,20043,0.0
1650296576.440457,30057,0.0
1650297158.556688,40084,0.0
1650297738.8843458,50105,0.0
1650298302.9683444,60129,0.0
1650298826.5730574,70132,0.0
1650299379.271462,80157,0.0
1650299899.8431866,90163,0.0
1650300405.4166136,100165,0.0
1650300960.5094988,110186,0.0
1650301425.0645566,120221,0.0
1650301923.3601282,130259,0.0
1650302415.9357667,140288,0.03125
1650302905.6511247,150295,0.0
1650303415.9328094,160299,0.03125
1650303875.0600939,170327,0.0
1650304334.0730665,180356,0.0
1650304806.2809536,190356,0.03125
1650305311.8880074,200380,0.0
1650305777.5922322,210394,0.03125
1650306291.8700392,220402,0.03125
1650306810.4723277,230419,0.03125
1650307308.9737751,240426,0.03125
1650307799.09599,250441,0.03125
1650308260.6981862,260445,0.03125
1650308728.0912745,270478,0.0
1650309216.8077958,280503,0.03125
1650309680.894054,290503,0.03125
1650310160.906378,300519,0.0625
1650310647.941684,310548,0.03125
1650311102.6759596,320553,0.0
1650311540.5076337,330592,0.25
1650312031.449398,340605,0.21875
1650312491.0839388,350635,0.40625
1650312964.494257,360635,0.25
1650313419.8315463,370652,0.625
1650313828.105184,380680,0.75
1650314285.384985,390712,0.625
1650314707.8223183,400761,0.75
1650315108.4907227,410777,0.875
1650315539.569974,420800,0.5625
1650315960.6111848,430814,0.75
1650316418.1075196,440860,0.84375
1650316840.2653728,450880,0.65625
1650317286.351861,460922,0.65625
1650317753.0602293,470950,0.40625
1650318206.6391563,480975,0.40625
1650318667.323844,490990,0.5625
1650319152.0693436,501004,0.53125
1650319628.9925017,511019,0.5
1650320094.4977388,521034,0.71875
1650320522.7759852,531034,0.25
1650320990.842746,541075,0.6875
1650321459.8956594,551096,0.875
1650321935.5973802,561140,0.9375
1650322392.731488,571146,1.0
1650322821.102677,581185,0.9375
1650323271.4888833,591223,0.875
1650323738.2702487,601260,0.96875
1650324167.6603687,611278,0.875
1650324635.4944303,621314,0.875
1650325107.424636,631355,0.90625
1650325530.731906,641396,0.84375
1650325967.3780186,651418,0.78125
1650326421.791316,661428,0.96875
1650326832.716408,671432,0.90625
1650327277.7116172,681445,0.9375
1650327750.9515858,691480,0.9375
1650328178.6513672,701486,0.875
1650328609.6782694,711524,0.8125
1650329063.2506845,721557,0.96875
1650329473.6055894,731585,0.84375
1650329936.8498914,741618,0.90625
1650330349.7894793,751651,0.9375
1650330776.3582702,761676,0.9375
1650331196.575771,771729,0.96875
1650331630.3018508,781748,1.0
1650332061.4599528,791788,1.0
1650332529.8165586,801820,0.96875
1650332959.981895,811843,0.9375
1650333401.9258356,821849,0.875
1650333821.6345043,831896,1.0
1650334276.0449116,841925,0.875
1650334712.3700576,851937,0.9375
1650335173.0082514,861980,1.0
1650335620.542618,871991,0.96875
1650336045.730435,882000,1.0
1650336460.5588818,892019,0.9375
1650336876.5538416,902056,1.0
1650337301.7711055,912092,0.9375
1650337720.6690176,922131,0.90625
1650338137.6942527,932131,0.96875
1650338555.6182065,942134,0.875
1650338984.2574682,952155,0.9375
1650339407.720156,962156,0.96875
1650339840.8783288,972183,1.0
1650340258.8657074,982224,0.96875
1650340712.991739,992256,0.90625
1650341184.524015,1002271,0.9375
1650341606.1796374,1012315,0.96875
1650342033.5234272,1022333,1.0
1650342462.6572506,1032339,0.96875
1650342876.3427489,1042377,0.96875
1650343317.2361073,1052380,0.9375
1650343745.9011962,1062380,0.96875
1650344157.6421561,1072415,1.0
1650344621.771685,1082456,0.96875
1650345810.7528958,1092499,0.90625
1650346494.42781,1102537,1.0
1650346925.4972472,1112542,1.0
1650347351.4135802,1122544,1.0
1650347809.0135546,1132565,0.9375
1650348272.639232,1142575,0.9375
1650350147.4395685,1152598,1.0
1650352768.1137502,1162619,0.96875
1650353861.105456,1172629,1.0
1650354281.3843894,1182675,1.0
1650354746.1624513,1192692,1.0
1650355175.0757172,1202738,0.9375
1650355621.4647806,1212750,0.96875
1650356068.4794347,1222799,0.96875
1650356487.094955,1232835,1.0
1650356908.8153753,1242879,1.0
1650357340.3078241,1252915,1.0
1650357764.2697163,1262924,0.96875
1650358188.866202,1272956,1.0
1650358624.880454,1282999,0.96875
1650359055.5540822,1293019,1.0
1650359558.6006448,1303036,1.0
1650360072.1014636,1313082,1.0
1650360589.2089908,1323097,0.9375
1650361144.4205148,1333133,1.0
1650361621.1028154,1343181,0.96875
1650362054.7663958,1353208,1.0
1650362515.5702167,1363236,1.0
1650363498.992545,1373247,0.96875
1650364132.6806664,1383267,0.96875
1650364588.7482119,1393290,1.0
1650365050.0268853,1403325,1.0
1650365524.9996824,1413362,0.9375
1650366030.5882425,1423376,1.0
1650366480.4670513,1433409,1.0
1650366933.1191833,1443466,0.90625
1650367386.8477213,1453510,1.0
1650367821.7011893,1463523,1.0
1650368286.5438623,1473555,0.9375
1650368743.063558,1483566,1.0
1650369210.0589144,1493601,0.96875
