Wall time,Step,Value
1650380756.3960083,24,0.0
1650383070.1345263,10040,0.0
1650384112.9645078,20061,0.0
1650384468.389807,30065,0.0
1650384850.7041838,40084,0.0
1650385245.7871015,50093,0.0
1650385577.5147893,60106,0.0
1650385901.8359866,70136,0.0
1650386230.4126294,80144,0.0
1650386565.231511,90144,0.0
1650386876.3624997,100159,0.0
1650387196.0362272,110163,0.0
1650387544.3456168,120179,0.0
1650387871.3742907,130182,0.0
1650388133.703876,140203,0.03125
1650388399.308612,150213,0.0
1650388633.7396982,160249,0.0
1650388891.1058047,170307,0.0
1650389123.2684865,180330,0.0
1650389342.6626804,190396,0.0
1650389553.9892766,200419,0.0
1650389766.3465173,210465,0.0
1650389987.6109042,220525,0.0
1650390228.0934012,230551,0.0
1650390447.6491792,240566,0.0
1650390660.1008885,250597,0.0
1650390870.188468,260653,0.0
1650391078.9701684,270702,0.0
1650391294.6287673,280738,0.0
1650391525.00627,290757,0.0
1650391762.874879,300809,0.0
1650392040.955711,310826,0.0
1650392371.5463057,320842,0.0
1650392665.9890535,330848,0.0
1650392914.9217892,340862,0.0
1650393174.38835,350885,0.0
1650393422.4889114,360945,0.0
1650393667.0963013,370957,0.0
1650393908.0895875,380965,0.0
1650394158.398505,391009,0.0
1650394383.8592582,401023,0.0
1650394609.096818,411075,0.0
1650394833.2881846,421124,0.0
1650395064.481473,431176,0.0625
1650395351.2231524,441234,0.0
1650395617.430017,451261,0.0
1650395898.2034616,461266,0.0
1650396188.9489343,471275,0.0
1650396457.4094036,481304,0.0
1650396727.6042416,491318,0.0
1650397025.9192004,501322,0.0
1650397345.5470972,511324,0.0
1650397675.04461,521330,0.0
1650398032.1863613,531344,0.0
1650398385.6290889,541344,0.0
1650398732.60103,551358,0.0
1650399078.6560457,561359,0.0
1650399409.18899,571377,0.0
1650400185.0179322,581415,0.0
1650400472.4818463,591448,0.0
1650400787.6227286,601453,0.0
1650401069.0383322,611457,0.03125
1650401365.9542038,621458,0.0
1650401648.1713986,631472,0.0
1650401900.9055023,641472,0.0
1650402168.8372605,651476,0.03125
1650402422.5195832,661501,0.0
1650402662.3648605,671504,0.0
1650402942.2875662,681517,0.0
1650403199.54786,691528,0.0
1650403473.269881,701547,0.03125
1650403732.111114,711559,0.0
1650403982.6415365,721579,0.0
1650404248.254761,731599,0.0
1650404520.3388624,741602,0.0
1650404786.773485,751619,0.0
1650405047.1407735,761628,0.03125
1650405293.149266,771641,0.0
1650405561.628948,781651,0.09375
1650405831.594712,791667,0.0
1650406107.0635679,801675,0.09375
1650406358.7804213,811682,0.03125
1650406599.7824218,821705,0.125
1650406853.7186375,831717,0.0625
1650407104.9218793,841718,0.03125
1650407351.889411,851732,0.0625
1650407598.6223953,861755,0.28125
1650407850.207409,871763,0.0625
1650408087.3832903,881780,0.09375
1650408318.1778173,891805,0.125
1650408558.9471266,901821,0.0625
1650408828.0194712,911831,0.0625
1650409100.774637,921848,0.0
1650409346.65806,931853,0.0
1650409595.823703,941855,0.0625
1650409866.177781,951860,0.0
1650410124.1374352,961872,0.28125
1650410391.54421,971875,0.34375
1650410679.8708417,981886,0.34375
1650410964.4728322,991886,0.3125
1650411246.7637122,1001929,0.3125
1650411530.0504193,1011943,0.46875
1650411794.6799037,1021944,0.5
1650412067.7620778,1031945,0.53125
1650412353.2314281,1041955,0.1875
1650412617.337374,1051978,0.46875
1650412901.3766642,1061988,0.125
1650413169.2751176,1072022,0.0625
1650413445.122718,1082040,0.46875
1650413728.364128,1092056,0.3125
1650414008.472434,1102084,0.1875
1650414292.6519375,1112106,0.3125
1650414552.279414,1122107,0.25
1650414807.0804467,1132114,0.1875
1650415092.4236348,1142139,0.25
1650415379.9109838,1152148,0.28125
1650415681.5284083,1162172,0.4375
1650415960.412716,1172173,0.8125
1650416255.1285236,1182179,0.59375
1650416556.8135817,1192213,0.3125
1650416842.5083032,1202216,0.6875
1650417120.453022,1212234,0.5625
1650417429.2928512,1222256,0.6875
1650418642.413631,1232273,0.53125
1650419008.945459,1242293,0.625
1650420199.7709572,1252297,0.6875
1650421713.5107124,1262303,0.34375
1650423125.293495,1272309,0.53125
1650424775.9911408,1282334,0.59375
1650425691.5879571,1292337,0.53125
1650426866.4154081,1302352,0.59375
1650427234.6717527,1312354,0.65625
1650428386.8645039,1322361,0.71875
1650428941.8765526,1332369,0.75
1650429888.136603,1342388,0.84375
1650430647.3966982,1352403,0.71875
1650431383.8276033,1362421,0.6875
1650432551.615388,1372444,0.75
1650432886.9456592,1382448,0.71875
1650433176.9494994,1392462,0.71875
1650433462.2011747,1402464,0.8125
1650433721.7331085,1412469,0.8125
1650433990.9020414,1422483,0.875
1650434267.84557,1432502,0.8125
1650434532.4461203,1442532,0.71875
1650434814.370962,1452560,0.6875
1650435094.9581647,1462575,0.875
1650435354.8918464,1472603,0.8125
1650435624.0300505,1482614,0.84375
1650435896.8297424,1492639,0.84375
