Wall time,Step,Value
1650443298.8396316,36,0.53125
1650451167.4127326,10055,0.59375
1650459536.665036,20055,0.6875
1650461334.1439967,30061,0.59375
1650463116.5620759,40079,0.53125
1650465087.4992964,50139,0.1875
1650466759.3339899,60172,0.125
1650468214.9050772,70172,0.0625
1650469451.569781,80231,0.3125
1650471060.8431652,90246,0.3125
1650471983.8163323,100257,0.125
1650473464.5345204,110308,0.375
1650474843.277447,120393,0.625
1650476504.4606283,130408,0.4375
1650477917.098969,140412,0.34375
1650479190.968368,150599,0.46875
1650481080.461568,160742,0.59375
1650483762.6454275,170781,0.34375
1650485960.6448627,180810,0.28125
1650492030.0795681,190872,0.125
1650501678.8153296,200896,0.4375
1650504696.0757785,210911,0.28125
1650506267.3074272,220912,0.71875
1650507889.937467,230954,0.5
1650509465.896411,240964,0.6875
1650511055.6682336,250971,0.5625
1650512041.6192663,261106,0.84375
1650513060.1428778,271108,0.90625
1650514057.095505,281173,0.90625
1650515068.2649915,291242,0.8125
1650516482.1778927,301259,0.90625
1650517521.1251996,311430,0.6875
1650518544.2830234,321496,0.59375
1650519531.604866,331504,0.65625
1650520623.4203756,341511,0.71875
1650521893.863092,351519,0.90625
1650523454.9501257,361542,0.90625
1650524916.2211242,371600,0.9375
1650526461.0161326,381604,0.9375
1650529973.567896,391633,0.96875
1650534687.8686292,401640,0.96875
1650537584.5041575,411689,0.8125
1650539844.0725873,421840,0.90625
1650545672.4112232,431869,0.84375
1650552670.4282634,441953,0.84375
1650558957.190499,451995,0.96875
1650560749.5148613,462029,0.9375
1650562800.861628,472122,0.90625
1650565118.4620478,482152,0.9375
1650567670.831261,492190,0.84375
1650569522.6442838,502203,0.9375
1650571210.5244262,512249,0.8125
1650575652.2635212,522368,0.875
1650581096.288198,532494,0.8125
1650586676.3390205,542607,0.6875
1650590200.269154,552750,0.9375
1650592696.3742616,562860,0.875
1650594290.4030843,572999,0.96875
1650597329.5465262,583006,0.875
1650599915.5445905,593035,0.96875
1650602130.8229074,603055,0.75
1650606263.8177981,613252,0.8125
1650614257.0683665,623386,0.90625
1650621884.4812737,633444,0.84375
1650625069.4974627,643493,1.0
1650627985.1818092,653515,0.875
1650630233.9492211,663584,0.96875
1650633637.4535615,673586,1.0
1650636141.7624564,683652,1.0
1650644976.9376683,693830,0.9375
1650653852.6367304,703875,0.96875
1650656008.5249724,713932,0.96875
1650658899.2519412,724052,0.96875
1650661685.6975455,734078,1.0
1650665134.3897705,744081,1.0
1650672095.2705274,754103,1.0
1650687504.8224332,764142,0.96875
1650690532.2471168,774298,0.96875
1650692931.1810057,784311,0.84375
1650695135.044813,794322,0.90625
1650697687.6386867,804327,0.96875
1650700907.2283893,814340,0.96875
1650704014.876748,824390,1.0
1650706828.5911422,834395,1.0
1650709042.5805712,844397,1.0
1650710808.713608,854433,1.0
1650712394.7145984,864545,1.0
1650714174.3511293,874547,1.0
1650716145.187044,884582,1.0
1650718557.7204506,894588,1.0
1650721148.9255033,904642,1.0
1650723800.8851562,914645,0.96875
1650726430.6991525,924650,1.0
1650728665.3807905,934657,1.0
1650730321.6141758,944660,1.0
1650731713.5231676,954666,1.0
1650733837.4348233,964671,1.0
1650735441.4805968,974674,1.0
1650736428.1144266,984787,0.84375
1650737614.46878,994947,0.96875
1650739500.1143563,1004960,1.0
1650743262.9637902,1014965,1.0
1650746803.569039,1025111,1.0
1650750373.407189,1035118,1.0
1650752740.3566673,1045132,0.96875
1650755685.088955,1055135,1.0
1650757796.1367848,1065136,1.0
1650759683.3187232,1075255,1.0
1650761413.2539887,1085260,1.0
1650763958.6207192,1095263,1.0
1650765787.278401,1105263,1.0
1650767487.5411913,1115442,0.96875
1650769201.7037487,1125477,1.0
1650771068.0151289,1135477,1.0
1650772854.7181003,1145479,0.96875
1650774453.199558,1155501,1.0
1650776245.091353,1165509,1.0
1650778353.8342483,1175509,1.0
1650780468.8708923,1185513,1.0
1650782500.5618756,1195513,1.0
1650785013.0834198,1205513,1.0
1650787230.8752708,1215514,1.0
1650789126.3110447,1225514,1.0
1650790825.6976743,1235523,1.0
1650792584.3388107,1245523,0.96875
1650794178.3962426,1255523,1.0
1650795871.951266,1265537,1.0
1650797569.7105446,1275542,1.0
1650799067.4211738,1285550,1.0
1650800770.767098,1295554,1.0
1650802501.7078955,1305561,1.0
1650804279.8391745,1315567,1.0
1650805797.3663867,1325570,1.0
1650807210.7407072,1335574,1.0
1650808535.3600543,1345578,1.0
1650810028.6911957,1355582,1.0
1650811563.68176,1365759,1.0
1650813057.4893124,1375760,1.0
1650814986.7310612,1385764,1.0
1650816919.8192248,1395771,1.0
1650818774.5567324,1405772,1.0
1650820762.5104332,1415778,1.0
1650822687.6781092,1425781,0.96875
1650824553.7783523,1435789,1.0
1650826421.6997292,1445792,0.96875
1650828183.4902987,1455796,1.0
1650829838.5391934,1465796,1.0
1650831424.1002722,1475802,1.0
1650833065.4755094,1485802,1.0
1650834948.2913194,1495809,1.0
1650836693.8666584,1505813,1.0
1650838440.4471638,1515820,1.0
1650840024.6793885,1525980,1.0
1650841605.287521,1535981,1.0
1650843357.5192246,1545986,1.0
1650844998.7927814,1555993,1.0
1650846501.1476192,1565997,1.0
1650848211.271122,1575998,1.0
1650849735.551206,1586071,1.0
