Wall time,Step,Value
1652840173.4075742,42,0.0
1652845444.353768,10055,0.0
1652846156.6866107,20078,0.0
1652846805.1551566,30079,0.0
1652847600.3196201,40090,0.0
1652848416.7084587,50113,0.0
1652848907.5504136,60126,0.0
1652849401.484586,70129,0.0
1652849897.1159573,80152,0.0
1652850415.3286347,90154,0.0
1652850918.7963123,100167,0.0
1652851397.6340957,110169,0.0
1652851912.6299465,120200,0.0
1652852429.9328277,130221,0.0
1652852980.4655964,140243,0.0
1652853583.442814,150245,0.0
1652854162.1642032,160256,0.0
1652854689.5583858,170260,0.0
1652855236.9514508,180281,0.0
1652855773.943228,190285,0.0
1652856306.1507385,200311,0.0
1652856821.5329611,210323,0.0
1652857336.266091,220338,0.0
1652857869.206486,230348,0.0
1652858404.1975255,240359,0.0
1652858939.1699467,250373,0.0
1652859505.4884274,260395,0.0
1652859994.3855808,270418,0.0
1652860493.437431,280428,0.0
1652860971.7973323,290438,0.0
1652861503.9050229,300449,0.0
1652861985.048121,310452,0.0
1652862468.8736784,320452,0.0
1652862952.9190311,330458,0.0
1652863427.511237,340478,0.0
1652863969.119167,350486,0.0
1652864516.4328823,360490,0.0
1652865107.042755,370546,0.0
1652865606.6941812,380620,0.0
1652866093.5781665,390743,0.0
1652866515.8957615,400751,0.0
1652866983.0677934,410765,0.0
1652867407.8886604,420816,0.0
1652867866.5792665,430840,0.0
1652868383.3960106,440931,0.0
1652868839.4045477,450953,0.0
1652869334.9871447,460954,0.0
1652869914.5942764,470980,0.0
1652870386.4049947,481018,0.0
1652870892.61493,491038,0.0
1652871403.9851086,501041,0.0
1652871853.6000564,511104,0.0
1652872331.3781328,521171,0.0
1652872778.2777953,531272,0.0
1652873200.5904913,541336,0.0
1652873574.066752,551383,0.03125
1652874091.244347,561401,0.0
1652874577.6484337,571499,0.0
1652875046.3807445,581512,0.0
1652875532.1497066,591578,0.0
1652875976.9144387,601722,0.0
1652876448.7084734,611770,0.0
1652876914.5676908,621786,0.0
1652877346.1452029,631891,0.0
1652877947.2061675,641970,0.0
1652878534.6602974,652115,0.0
1652879105.9892948,662134,0.0
1652879555.17185,672151,0.0
1652880113.0277965,682179,0.0
1652880650.8499024,692215,0.0
1652881144.6593525,702225,0.0
1652881660.269399,712314,0.0
1652882168.8823137,722371,0.0
1652882666.8614974,732375,0.0
1652883222.7077692,742444,0.0
1652883800.8144226,752451,0.0
1652884376.4077861,762471,0.0
1652884994.2031898,772496,0.0
1652885651.1718504,782497,0.0
1652886261.148605,792508,0.0
1652886911.1195118,802528,0.03125
1652887630.1551948,812539,0.0625
1652888228.0833395,822544,0.0
1652888876.524844,832570,0.0
1652889519.9564934,842594,0.0
1652890205.8460333,852606,0.0
1652890888.5569632,862622,0.0
1652891539.0121036,872644,0.03125
1652892202.8994603,882649,0.0
1652892846.7927592,892650,0.0
1652893447.0062819,902788,0.0
1652894029.6047227,912793,0.0
1652894637.4620483,922801,0.03125
1652895195.7589462,932828,0.0
1652895761.802334,942840,0.0
1652896281.184338,952864,0.0
1652896842.3877647,962872,0.0
1652897410.4744506,972874,0.0
1652897980.5627723,982888,0.0
1652898516.554313,992914,0.0
1652899096.339058,1002951,0.03125
1652899697.8952127,1012966,0.0
1652900249.6627548,1022993,0.03125
1652900820.0482423,1033004,0.0
1652901375.2054327,1043007,0.0
1652901908.6772182,1053012,0.0
1652902483.4728193,1063027,0.0625
1652903042.025486,1073045,0.03125
1652903596.3645444,1083051,0.03125
1652904119.5444608,1093159,0.03125
1652904713.556711,1103189,0.0625
1652905322.8637733,1113189,0.03125
1652905910.4642723,1123216,0.03125
1652906472.6457365,1133221,0.0
1652907046.084837,1143228,0.0
1652907650.387411,1153250,0.03125
1652908236.492181,1163253,0.03125
1652908839.3229442,1173259,0.0
1652909447.3763645,1183276,0.03125
1652910057.5067058,1193306,0.0
1652910591.1367598,1203324,0.0
1652911199.3181875,1213332,0.0
1652911791.9477684,1223332,0.03125
1652912385.2192519,1233355,0.03125
1652913007.6635997,1243372,0.03125
1652913616.4138827,1253379,0.03125
1652914176.439437,1263410,0.03125
1652914815.5979989,1273426,0.0625
1652915426.3819845,1283501,0.03125
1652916025.1060452,1293506,0.03125
1652916622.6206856,1303529,0.0
1652917203.4365842,1313540,0.09375
1652917795.330749,1323560,0.125
1652918403.336567,1333587,0.03125
1652919003.7680016,1343606,0.03125
1652919564.7922792,1353621,0.0625
1652920136.8018074,1363636,0.125
1652920721.0766673,1373662,0.03125
1652921274.3488524,1383673,0.03125
1652921847.9943728,1393678,0.0
1652922443.7055507,1403698,0.0625
1652923030.4461029,1413712,0.0625
1652923574.287222,1423737,0.125
1652924119.8777494,1433757,0.0625
1652924643.5700145,1443773,0.09375
1652925119.4032433,1453801,0.09375
1652925624.9114954,1463805,0.03125
1652926142.5437865,1473858,0.0625
1652926584.2529259,1483885,0.15625
1652927085.4836602,1493936,0.09375
1652927638.3960407,1503942,0.03125
1652928179.4215047,1513957,0.3125
1652928689.5609365,1523981,0.25
1652929217.9823837,1534062,0.15625
1652929683.759577,1544159,0.125
1652930186.7916644,1554179,0.125
1652930692.545373,1564269,0.1875
1652931267.7285469,1574428,0.1875
1652931819.9297123,1584546,0.09375
1652932318.6661716,1594704,0.125
1652932834.113959,1604868,0.125
1652933329.4546447,1614886,0.09375
1652933817.9092956,1624891,0.21875
1652934311.3378305,1634954,0.1875
1652934815.54979,1645058,0.25
1652935298.4963326,1655075,0.25
1652935813.4790366,1665165,0.15625
1652936333.2553327,1675189,0.25
1652936830.3734145,1685244,0.21875
1652937373.9142241,1695256,0.15625
1652937927.3499217,1705285,0.21875
1652938529.141862,1715290,0.1875
1652939069.4364293,1725309,0.34375
1652939608.3242662,1735340,0.375
1652940193.199778,1745343,0.15625
1652940716.407662,1755345,0.125
1652941248.605214,1765357,0.28125
1652941836.151565,1775364,0.15625
1652942422.27695,1785392,0.25
1652942982.40924,1795422,0.4375
1652943578.8656452,1805443,0.375
1652944114.4265509,1815468,0.25
1652944677.0158775,1825474,0.3125
1652945193.483298,1835486,0.25
1652945696.7492256,1845492,0.21875
1652946208.1949253,1855530,0.625
1652946840.530748,1865531,0.40625
1652947413.4849854,1875531,0.53125
1652947881.8470256,1885537,0.40625
1652948325.626574,1895631,0.375
1652948805.3917248,1905659,0.34375
1652949361.1015427,1915697,0.34375
1652949947.591153,1925715,0.46875
1652950506.7959955,1935716,0.46875
1652951069.6134315,1945731,0.46875
1652951596.326084,1955777,0.40625
1652952147.7380652,1965806,0.375
1652952670.7112002,1975970,0.59375
1652953164.334908,1985977,0.34375
1652953664.411187,1995983,0.5
1652954172.445892,2006011,0.46875
1652954690.4100397,2016025,0.65625
1652955240.666944,2026128,0.53125
1652955733.6382303,2036157,0.71875
1652956205.3311324,2046189,0.5
1652956692.63985,2056189,0.5625
1652957133.3307805,2066297,0.59375
1652957598.6846812,2076313,0.5
1652958039.156947,2086351,0.46875
1652958474.7082791,2096443,0.75
1652958943.103993,2106462,0.5625
1652959395.3875651,2116510,0.5625
1652959836.3793294,2126550,0.625
1652960278.2466767,2136726,0.78125
1652960761.0524216,2146733,0.5625
1652961225.0229936,2156739,0.5
1652961657.8513393,2166869,0.59375
1652962117.0973723,2176905,0.75
1652962592.6103232,2186908,0.5625
1652963051.1444645,2196934,0.5625
1652963545.2481973,2206962,0.625
1652963951.2513783,2216983,0.75
1652964401.2506056,2227005,0.59375
1652964804.5600274,2237021,0.65625
1652965243.4806254,2247046,0.40625
1652965679.4982913,2257189,0.5625
1652966102.1679235,2267351,0.46875
1652966560.946323,2277354,0.5625
1652967008.224163,2287375,0.625
1652967446.5681639,2297435,0.625
1652967921.4063613,2307596,0.53125
1652968313.8683653,2317716,0.46875
1652968775.6476727,2327875,0.65625
1652969181.09784,2337899,0.6875
1652969603.6293333,2347925,0.65625
1652969976.5932631,2357958,0.53125
1652970356.7013404,2368022,0.625
1652970789.6004512,2378131,0.65625
1652971210.079172,2388146,0.53125
1652971604.2610345,2398170,0.625
1652972001.3401597,2408187,0.53125
1652972392.1698897,2418277,0.40625
1652972797.1673646,2428285,0.875
1652973136.7595558,2438321,0.53125
1652973509.7805393,2448347,0.65625
1652973909.0483446,2458407,0.59375
1652974305.9618728,2468424,0.53125
1652974746.6950364,2478451,0.65625
1652975202.0666828,2488488,0.3125
1652975618.8568347,2498499,0.5
1652976018.6018023,2508591,0.6875
1652976439.241719,2518653,0.6875
1652976887.6548815,2528688,0.65625
1652977309.65373,2538710,0.53125
1652977756.6601553,2548816,0.5625
1652978211.1069496,2558990,0.53125
1652978635.9373004,2569121,0.59375
1652979108.1574173,2579269,0.625
1652979605.9283614,2589286,0.65625
1652980034.5796773,2599383,0.78125
1652980413.8227952,2609413,0.78125
1652980831.5604372,2619430,0.5625
1652981270.0636258,2629455,0.5
1652981704.1445715,2639514,0.59375
1652982147.7910097,2649593,0.5625
1652982555.6682081,2659604,0.5
1652982956.08657,2669648,0.75
1652983368.8675683,2679708,0.40625
1652983789.101139,2689804,0.5
1652984234.7129507,2699930,0.5
1652984630.6496372,2709945,0.5625
1652985066.2059228,2720118,0.53125
1652985470.7489803,2730153,0.71875
1652985904.0806649,2740241,0.5625
1652986351.9369266,2750248,0.6875
1652986800.8824413,2760317,0.40625
1652987233.8566344,2770325,0.65625
1652987677.667945,2780342,0.75
1652988137.6471512,2790363,0.5625
1652988597.2221735,2800389,0.4375
1652989049.0431664,2810494,0.5
1652989523.1418943,2820603,0.75
1652990009.5587428,2830612,0.625
1652990468.8249478,2840615,0.5
1652990931.8080428,2850617,0.90625
1652991373.5797796,2860787,0.6875
1652991833.119389,2870881,0.75
1652992278.6370535,2880917,0.65625
1652992711.5218832,2890927,0.84375
1652993159.8564043,2900994,0.71875
1652993652.4294481,2911018,0.90625
1652994136.2773695,2921038,0.84375
1652994596.5049243,2931146,0.8125
1652995080.4801638,2941228,0.78125
1652995574.6472528,2951237,0.75
1652996040.9011998,2961415,0.75
1652996473.7432792,2971446,0.71875
1652996970.4340494,2981446,0.9375
1652997429.4308653,2991468,0.6875
1652997935.3686256,3001644,0.8125
1652998446.1940398,3011714,0.78125
1652998945.3577814,3021762,0.84375
1652999415.4091516,3031906,0.78125
1652999874.5687447,3041931,0.78125
1653000343.1366682,3051945,0.75
1653000793.614876,3062025,0.78125
1653001257.3647876,3072043,0.8125
1653001736.5298393,3082081,0.71875
1653002193.4313614,3092088,0.59375
1653002693.0230744,3102092,0.75
1653003134.5042744,3112123,0.625
1653003621.7711213,3122142,0.6875
1653004090.2700355,3132167,0.78125
1653004597.2749603,3142201,0.75
1653005089.3623543,3152253,0.75
1653005593.787418,3162262,0.8125
1653006082.2451885,3172417,0.84375
1653006543.6623218,3182538,0.625
1653007034.8644776,3192547,0.78125
1653007528.6230395,3202561,0.75
1653008046.1413765,3212565,0.84375
1653008593.2819161,3222699,0.65625
1653009110.4710946,3232721,0.5625
1653009650.3512375,3242861,0.40625
1653010192.768861,3252942,0.84375
1653010724.8492026,3263004,0.8125
1653011240.8582873,3273008,0.6875
1653011778.6192439,3283030,0.875
1653012281.575983,3293049,0.84375
1653012810.0877237,3303063,0.875
1653013331.7418644,3313100,0.71875
1653013863.672134,3323117,0.65625
1653014387.9329154,3333157,0.78125
1653014899.569985,3343195,0.8125
1653015371.9180934,3353229,0.78125
1653015846.837274,3363291,0.71875
1653016330.0052178,3373316,0.6875
1653016834.211396,3383318,0.71875
1653017379.1390357,3393339,0.75
1653017946.4173806,3403352,0.78125
1653018501.5111055,3413356,0.71875
1653019062.6954615,3423394,0.78125
1653019552.7080538,3433417,0.96875
1653020090.2623124,3443431,0.9375
1653020659.7535918,3453445,0.75
1653021183.6913831,3463569,0.9375
1653021669.811783,3473570,0.75
1653022181.7035995,3483580,0.78125
1653022700.4164746,3493605,0.625
1653023159.3310657,3503661,0.53125
1653023698.0839338,3513681,0.84375
1653024224.845051,3523734,0.78125
1653024741.1368089,3533739,0.9375
1653025269.977665,3543821,0.84375
1653025771.483461,3553854,0.96875
1653026245.6111624,3563970,0.8125
1653026753.1610317,3573978,0.875
1653027275.2700553,3584045,0.84375
1653027800.6127546,3594064,0.78125
1653028335.3764741,3604078,0.90625
1653028835.8290014,3614085,0.8125
1653029297.3112,3624110,0.90625
1653029741.1660545,3634149,1.0
1653030274.761508,3644185,0.90625
1653030837.3192358,3654194,0.90625
1653031371.9544458,3664206,1.0
1653031844.168383,3674213,0.71875
1653032404.438236,3684252,0.90625
1653032982.6654785,3694263,0.96875
1653033510.0133255,3704342,0.8125
1653034079.0938559,3714396,0.875
1653034629.7627347,3724542,0.875
1653035234.403731,3734557,0.875
1653035735.7178273,3744605,0.875
1653036299.9239674,3754688,0.90625
1653036834.4828176,3764700,0.96875
1653037371.6455746,3774809,0.75
1653037862.889067,3784912,0.9375
1653038393.2380407,3795058,0.9375
1653038928.6122365,3805093,0.875
1653039468.4506488,3815093,0.96875
1653039954.0464134,3825153,0.90625
1653040483.1575036,3835276,1.0
1653040957.8706734,3845398,0.96875
1653041496.7105129,3855428,0.96875
1653041975.0451481,3865523,0.875
1653042509.2613342,3875544,0.96875
1653043066.2991638,3885558,0.96875
1653043577.9326336,3895570,0.9375
1653044102.0319881,3905587,1.0
1653044662.4745011,3915605,0.875
1653045208.3629265,3925644,0.90625
1653045765.7185981,3935666,1.0
1653046301.237821,3945671,0.96875
1653046798.648216,3955680,0.9375
1653047348.5008328,3965710,0.96875
1653047921.118829,3975742,0.90625
1653048464.8914607,3985822,0.9375
1653048973.1756997,3995858,0.96875
1653049573.21943,4005866,0.875
1653050192.9576027,4015904,0.96875
1653050745.2169657,4025937,0.9375
1653051273.0593848,4035963,0.96875
1653051816.1527011,4045981,0.96875
1653052359.4802928,4056015,0.96875
1653052914.7350583,4066019,0.9375
1653053498.9231496,4076054,0.90625
1653054103.3427565,4086075,0.84375
1653054663.005332,4096108,0.96875
1653055170.420494,4106154,0.90625
1653055713.5889087,4116190,0.9375
1653056210.7641742,4126194,0.96875
1653056712.486561,4136198,0.96875
1653057182.837418,4146226,0.875
1653057753.0874345,4156263,0.96875
1653058306.8624885,4166303,0.9375
1653058867.7169785,4176321,0.9375
1653059471.2619584,4186333,1.0
1653060030.1256073,4196333,0.96875
1653060630.871612,4206336,0.9375
1653061210.9259756,4216348,0.96875
1653061800.7229652,4226516,1.0
1653062381.4513667,4236516,0.875
1653062981.6047459,4246521,0.90625
1653063535.5301373,4256561,0.9375
1653064086.271382,4266566,0.875
1653064666.8389058,4276579,1.0
1653065239.5017416,4286667,0.9375
1653065810.2912498,4296709,0.96875
1653066379.9421906,4306746,1.0
1653066995.1338198,4316750,0.96875
1653067617.735056,4326767,0.96875
1653068254.5769808,4336780,1.0
1653068857.47009,4346798,0.96875
1653069480.0384796,4356803,0.9375
1653070109.814362,4366819,0.9375
1653070734.9522536,4376837,0.90625
1653071320.752706,4386840,0.9375
1653071952.6422276,4396870,0.90625
1653072563.1717832,4406910,0.96875
1653073143.6931953,4416912,0.90625
1653073740.419806,4426918,0.96875
1653074301.7266726,4436936,0.84375
1653074861.5483277,4446937,1.0
1653075432.0750375,4456965,0.96875
1653076016.687594,4467007,0.9375
1653076579.7361283,4477024,0.9375
1653077165.496788,4487024,0.9375
1653077746.7387846,4497026,0.96875
1653078285.611106,4507033,0.9375
1653078823.4887216,4517052,1.0
1653079359.438154,4527056,0.96875
1653079919.3830504,4537096,0.96875
1653080487.4745123,4547105,0.96875
1653081057.8746846,4557125,0.96875
1653081603.6061816,4567145,0.96875
1653082169.8820834,4577154,1.0
1653082722.8043087,4587159,0.96875
1653083301.128032,4597195,0.96875
1653083883.5104914,4607236,0.9375
1653084442.4370558,4617274,0.96875
1653084976.9559262,4627281,0.96875
1653085518.0388925,4637302,0.96875
1653086081.7876182,4647338,0.875
1653086621.0453334,4657365,1.0
1653087111.6606145,4667388,0.9375
1653087653.4824064,4677402,0.9375
1653088150.4330342,4687423,0.96875
1653088686.9787903,4697445,0.90625
1653089255.8633735,4707467,0.875
1653089814.4100518,4717476,0.90625
1653090389.4140058,4727480,0.90625
1653090983.1468613,4737494,0.90625
1653091541.0804358,4747505,1.0
1653092077.418392,4757529,0.96875
1653092647.1873105,4767668,0.90625
1653093163.0409286,4777669,0.96875
1653093708.6961436,4787839,0.96875
1653094277.2757454,4797850,0.96875
1653094834.0025191,4807886,0.9375
1653095421.164469,4817889,1.0
1653095987.4220123,4827914,0.96875
1653096543.060175,4837923,0.9375
1653097152.8707922,4847957,0.96875
1653097752.4639068,4857965,0.9375
1653098386.4856153,4867989,0.9375
1653098983.2557247,4878022,0.96875
1653099599.7206135,4888042,1.0
1653100206.3634734,4898069,0.9375
1653100793.500884,4908072,1.0
1653101370.6216817,4918088,0.96875
1653101947.975963,4928111,0.9375
1653102556.3517814,4938266,1.0
1653103130.5230956,4948271,0.96875
1653103724.0544918,4958307,0.9375
1653104298.3998377,4968331,1.0
1653104885.8660243,4978419,0.96875
1653105492.1984744,4988453,1.0
1653106107.9181855,4998466,1.0
