Wall time,Step,Value
1652109647.2085814,20,0.0
1652114338.122716,10029,0.0
1652118964.3836114,20047,0.0
1652123543.4810226,30063,0.0
1652128257.674786,40070,0.0
1652132719.00341,50084,0.0
1652134912.633824,60094,0.0
1652136996.1154606,70116,0.0
1652139001.8950155,80140,0.0
1652141019.6337953,90157,0.0
1652143007.278003,100162,0.0
1652144988.9734156,110170,0.0
1652146663.9300246,120185,0.0
1652148066.0962598,130209,0.0
1652149484.229244,140229,0.0
1652150842.2724779,150237,0.0
1652151921.5722213,160250,0.0
1652152513.0024056,170268,0.0
1652152826.7578716,180277,0.0
1652153109.6512597,190298,0.0
1652153382.5565515,200303,0.0
1652153654.3431714,210313,0.0
1652153926.3524246,220318,0.0
1652154201.0769286,230329,0.0
1652154483.514616,240353,0.0
1652154777.660005,250357,0.0
1652155073.6644788,260374,0.0
1652155371.2459192,270379,0.0
1652155671.6851854,280402,0.0
1652155968.9684162,290427,0.0
1652156257.7396405,300438,0.0
1652156558.6943798,310448,0.0
1652156845.3226712,320458,0.0
1652157130.974135,330465,0.0
1652157422.6653535,340484,0.0
1652157706.094406,350496,0.0
1652157989.0206833,360499,0.0
1652158275.4124646,370503,0.0
1652158553.6459703,380505,0.0
1652158831.9865503,390522,0.0
1652159115.6328676,400530,0.0
1652159398.6167784,410535,0.0
1652159683.783413,420543,0.0
1652159974.9988182,430557,0.0
1652160259.1964672,440565,0.0
1652160547.4816277,450576,0.0
1652160833.4448667,460601,0.0
1652161124.5771987,470605,0.0
1652161422.901373,480622,0.0
1652161714.4024167,490625,0.0
1652162008.2159286,500646,0.0
1652162295.8834407,510663,0.0
1652162592.562735,520665,0.0
1652162893.269786,530688,0.0
1652163189.2885098,540707,0.0
1652163480.0357106,550721,0.0
1652163768.2518835,560733,0.0
1652164058.5272627,570741,0.0
1652164348.4888122,580762,0.0
1652164646.5467806,590779,0.0
1652164952.9143517,600785,0.0
1652165241.0005066,610802,0.0
1652165538.9579499,620806,0.0
1652165830.325129,630828,0.0
1652166125.9252524,640848,0.0
1652166417.6092777,650857,0.0
1652166716.405367,660878,0.0
1652167000.4621167,670888,0.0
1652167285.5624638,680888,0.0
1652167581.1373951,690913,0.0
1652167870.9572709,700928,0.0
1652168159.6515698,710935,0.0
1652168456.0192232,720960,0.0
1652168746.1064637,730964,0.0
1652169034.5314155,740985,0.0
1652169323.9329503,751006,0.0
1652169609.4986436,761034,0.0
1652169898.0390706,771052,0.0
1652170202.9601328,781058,0.0
1652170498.7550278,791068,0.0
1652170785.5361874,801081,0.0
1652171080.5358796,811082,0.0
1652171369.2985423,821087,0.0
1652171661.1947274,831109,0.0
1652171957.338261,841111,0.0
1652172244.8881235,851118,0.0
1652172531.7916672,861118,0.0
1652172818.6740234,871118,0.0
1652173109.9314437,881121,0.0
1652173403.0740213,891122,0.0
1652173703.2302046,901127,0.0
1652173988.5620694,911148,0.0
1652174273.8458767,921155,0.0
1652174560.3429615,931170,0.0
1652174845.7092876,941173,0.0
1652175130.241365,951190,0.0
1652175426.4738529,961208,0.0
1652175721.6437345,971211,0.03125
1652176015.234577,981214,0.0
1652176306.7898161,991216,0.0
1652176603.3658433,1001240,0.0
1652176899.9337656,1011246,0.0
1652177200.9851563,1021254,0.0
1652177493.6025856,1031255,0.0
1652177782.7952237,1041257,0.0
1652178073.0285811,1051274,0.0
1652178370.1877031,1061297,0.0
1652178674.9808784,1071297,0.0
1652178975.4057052,1081321,0.0
1652179271.86885,1091329,0.0
1652179570.3294,1101340,0.0
1652179868.9350324,1111346,0.0
1652180166.9597936,1121356,0.0
1652180460.705874,1131360,0.0
1652180758.614538,1141371,0.0
1652181050.0454261,1151377,0.0
1652181344.5271738,1161386,0.0
1652181638.7517881,1171393,0.0
1652181941.154177,1181397,0.0
1652182241.0488806,1191400,0.0
1652182549.0644608,1201412,0.0
1652182845.921051,1211433,0.0
1652183145.5330918,1221450,0.0
1652183444.3775525,1231456,0.0
1652183741.158186,1241459,0.0
1652184047.0730972,1251470,0.0
1652184361.107991,1261495,0.0
1652184664.530541,1271505,0.0
1652184969.8853893,1281524,0.0
1652185265.531188,1291535,0.0
1652185570.2222872,1301559,0.0
1652185867.3486807,1311580,0.0
1652186170.4831896,1321590,0.0
1652186461.569566,1331591,0.0
1652186758.1582866,1341592,0.0
1652187062.7333565,1351601,0.0
1652187362.1628876,1361609,0.0
1652187661.6735892,1371617,0.0
1652187957.388899,1381625,0.0
1652188262.9282324,1391632,0.0
1652188559.280717,1401656,0.0
1652188861.363819,1411681,0.0
1652189162.5401978,1421682,0.0
1652189465.5996227,1431693,0.0
1652189773.520563,1441705,0.0
1652190072.4844058,1451719,0.0
1652190372.2759435,1461741,0.0
1652190670.1567357,1471757,0.0
1652190973.8170478,1481782,0.0
1652191276.1984477,1491795,0.0
1652191575.6427457,1501817,0.0
1652191864.185433,1511836,0.0
1652192160.627116,1521837,0.0
1652192452.1733253,1531858,0.0
1652192748.3040686,1541879,0.0
1652193044.7111726,1551881,0.0
1652193346.3237083,1561881,0.0
1652193648.8638086,1571906,0.0
1652193949.0696933,1581915,0.0
1652194246.4882016,1591924,0.0
1652194545.8836915,1601924,0.0
1652194842.8843663,1611945,0.0
1652195148.710294,1621947,0.03125
1652195453.9301386,1631964,0.0
1652195756.5714028,1641966,0.03125
1652196058.2710042,1651982,0.0
1652196362.7154937,1661984,0.0
1652196670.6096187,1672007,0.0
1652196975.087687,1682011,0.0
1652197280.6265302,1692037,0.0
1652197582.6925673,1702056,0.0
1652197877.5057037,1712068,0.0
1652198184.6772761,1722084,0.0
1652198489.6011374,1732085,0.03125
1652198793.931065,1742090,0.0
1652199089.8852334,1752115,0.0
1652199386.9044366,1762133,0.0
1652199685.855324,1772140,0.0
