Wall time,Step,Value
1651233321.598466,41,0.0
1651234191.585188,10059,0.0
1651236573.8612158,20075,0.0
1651237128.9107363,30091,0.0
1651237773.982871,40118,0.0
1651238433.2903502,50141,0.0
1651238904.7598329,60152,0.0
1651239390.0102804,70173,0.0
1651239883.315156,80208,0.0
1651240387.4772613,90244,0.0
1651240903.5354142,100269,0.0
1651241484.3237329,110331,0.0
1651242094.7479465,120484,0.0
1651242565.9231558,130662,0.0
1651242886.1428351,140684,0.0
1651243184.3745737,150822,0.0
1651243551.9923203,160999,0.0
1651244279.5041242,171059,0.0
1651245023.2258012,181195,0.0
1651245509.1215167,191212,0.0
1651246014.4451342,201273,0.0
1651246729.627506,211273,0.0
1651247441.307471,221432,0.0
1651248122.180177,231593,0.0
1651248843.2434804,241762,0.0
1651249578.5000825,251820,0.0
1651249922.9769223,261830,0.0
1651250264.3304985,271972,0.0
1651250599.681583,282080,0.0
1651250934.6179507,292097,0.0
1651251271.1860232,302129,0.0
1651251615.6036036,312145,0.0
1651251964.2036607,322203,0.0
1651252343.9405699,332216,0.0
1651252686.6504133,342249,0.0
1651253052.4270504,352386,0.0
1651253419.7447371,362548,0.0
1651253778.4795094,372681,0.0
1651254162.3661168,382732,0.0
1651254540.793593,392792,0.0
1651254940.8419566,402932,0.0
1651255334.9447613,412948,0.0
1651255755.3654845,423088,0.0
1651256218.4055226,433128,0.0
1651256648.2046988,443134,0.0
1651257118.3297484,453172,0.0
1651257589.0136793,463173,0.0
1651258056.4990914,473272,0.0
1651258462.4040346,483351,0.0
1651258858.1845858,493357,0.0
1651259268.8814094,503506,0.0
1651259702.5661108,513659,0.0
1651260113.1371412,523718,0.0
1651260501.6347346,533808,0.0
1651260895.801828,543885,0.0
1651261274.4609902,553954,0.0
1651261658.7886941,563996,0.0
1651262029.7741437,574024,0.0
1651262457.4103622,584163,0.03125
1651262812.8376637,594172,0.03125
1651263177.6663148,604197,0.0
1651263549.3150532,614220,0.0
1651263881.0264332,624318,0.0
1651264258.1965196,634409,0.0
1651264590.9909253,644583,0.0
1651264945.8636496,654752,0.0
1651265292.833806,664754,0.0
1651265642.9189317,674765,0.0
1651265985.718655,684903,0.0
1651266369.517817,695011,0.0
1651266694.277446,705052,0.0
1651267034.8888094,715080,0.0
1651267347.1883712,725108,0.0
1651267692.1926305,735187,0.0
1651268037.9257343,745230,0.0
1651268379.2477582,755269,0.0
1651268717.8673205,765448,0.0
1651269037.2012866,775461,0.0
1651269405.7030091,785557,0.0
1651269723.0896752,795606,0.0
1651270070.640771,805627,0.0
1651270391.587927,815770,0.0
1651270701.4278479,825889,0.0
1651271006.5648706,835940,0.0
1651271323.5761395,846110,0.0
1651271636.5927641,856149,0.03125
1651271942.39052,866303,0.0
1651272254.1385903,876412,0.0
1651272572.4215941,886468,0.0
1651272875.8957243,896505,0.0
1651273181.8265507,906683,0.0
1651273481.2720675,916756,0.0
1651273805.7614143,926920,0.0
1651274106.7719061,936928,0.0
1651274423.820729,947046,0.0
1651274748.9143097,957169,0.0
1651275033.3202615,967222,0.03125
1651275341.5719938,977289,0.03125
1651275658.0946639,987330,0.03125
1651275944.2666175,997427,0.0
1651276258.7349415,1007519,0.0
1651276568.1779306,1017664,0.0
1651276881.390061,1027720,0.0
1651277208.0270197,1037855,0.0
1651277515.223282,1047855,0.0
1651277835.3737764,1057993,0.0
1651278148.1412873,1068073,0.0
1651278449.6243312,1078102,0.0
1651278756.4303198,1088104,0.0
1651279082.5734491,1098202,0.03125
1651279404.710409,1108373,0.0625
1651279704.8265631,1118514,0.03125
1651280032.5855162,1128540,0.0625
1651280326.9180398,1138544,0.0625
1651280631.028291,1148654,0.0
1651280940.6289077,1158712,0.0
1651281239.9756026,1168827,0.0
1651281546.5522008,1178865,0.0
1651281846.2767093,1188886,0.0
1651282137.284551,1198917,0.03125
1651282448.4374497,1208955,0.0
1651282755.2942119,1218971,0.03125
1651283082.6256804,1229143,0.0
1651283382.2375667,1239177,0.03125
1651283706.5761313,1249304,0.0
1651284011.3966455,1259369,0.03125
1651284309.836424,1269468,0.03125
1651284621.620898,1279630,0.0
1651284929.062718,1289687,0.03125
1651285226.7278996,1299846,0.0625
1651285536.5623238,1309889,0.03125
1651285823.701058,1319895,0.0
1651286112.4307747,1329897,0.0
1651286410.5015745,1340003,0.0
1651286706.6693273,1350035,0.0
1651287033.6545649,1360186,0.0
1651287326.2233803,1370200,0.0
1651287628.7555568,1380374,0.0
1651287937.4017797,1390392,0.0
1651288241.0257225,1400417,0.0
1651288537.4255755,1410523,0.0
1651288816.5801818,1420649,0.0
1651289116.4004097,1430797,0.03125
1651289415.2205803,1440838,0.0
1651289727.5545828,1450839,0.03125
1651290011.1287377,1460865,0.03125
1651290315.5636342,1470981,0.0625
1651290611.6830132,1480988,0.0625
1651290902.561371,1491066,0.09375
1651291198.2106369,1501234,0.0
1651291486.0915513,1511402,0.0625
1651291770.6302624,1521473,0.0
1651292041.8533056,1531486,0.125
1651292335.7132983,1541617,0.0625
1651292619.080314,1551632,0.0625
1651292936.9840758,1561656,0.25
1651293232.2016392,1571677,0.15625
1651293544.6490326,1581780,0.03125
1651293835.2400436,1591796,0.1875
1651294130.3055897,1601808,0.25
1651294446.881588,1611915,0.03125
1651294742.2894926,1621989,0.125
1651295043.9723883,1632012,0.15625
1651295343.6095018,1642018,0.09375
1651295651.315977,1652029,0.0625
1651295974.723421,1662179,0.03125
1651296277.921883,1672293,0.0625
1651296587.5319705,1682374,0.25
1651296889.111251,1692422,0.09375
1651297199.802972,1702489,0.125
1651297500.334936,1712501,0.15625
1651297802.0861468,1722529,0.15625
1651298094.582823,1732669,0.125
1651298381.3384256,1742718,0.21875
1651298675.5784693,1752863,0.21875
1651298986.6351452,1762984,0.1875
1651299312.8868163,1772988,0.1875
1651299654.7409873,1783098,0.09375
1651299950.5469751,1793179,0.1875
1651300245.7625077,1803203,0.21875
1651300576.3969367,1813288,0.1875
1651300896.0385182,1823294,0.15625
1651301221.1013327,1833413,0.40625
1651301520.9462411,1843435,0.28125
1651301843.6829727,1853439,0.375
1651302175.2837203,1863462,0.21875
1651302509.9146302,1873505,0.40625
1651302868.2166216,1883535,0.40625
1651303192.7221408,1893657,0.4375
1651303535.8852525,1903657,0.34375
1651303874.428534,1913807,0.4375
1651304209.9986548,1923809,0.40625
1651304551.6412404,1933869,0.4375
1651304867.8285367,1943904,0.4375
1651305228.0402656,1953932,0.40625
1651305550.3846228,1964092,0.625
1651305871.383206,1974202,0.6875
1651306205.6379807,1984352,0.375
1651306656.909548,1994393,0.53125
1651307261.9810796,2004442,0.34375
1651307908.586181,2014474,0.4375
1651308564.74415,2024638,0.4375
1651308974.2203538,2034701,0.59375
1651309396.6789684,2044739,0.625
1651310065.3995614,2054886,0.5
1651310690.6004524,2064915,0.40625
1651311266.381934,2074934,0.3125
1651311856.3838525,2085082,0.5
1651312521.5361252,2095204,0.375
1651313067.4089184,2105222,0.5625
1651313413.8268504,2115339,0.46875
1651313784.4022446,2125422,0.5
1651314112.333893,2135431,0.71875
1651314502.4347763,2145436,0.53125
1651314874.7081077,2155479,0.46875
1651315228.9076378,2165482,0.40625
1651315549.3307626,2175589,0.71875
1651315925.0031264,2185627,0.78125
1651316312.9220722,2195794,0.875
1651316694.821668,2205932,0.4375
1651317058.4868455,2215956,0.65625
1651317430.275539,2226111,0.75
1651317812.2658494,2236117,0.84375
1651318184.8962805,2246156,0.6875
1651318583.9846828,2256321,0.65625
1651318983.1885157,2266426,0.59375
1651319407.7770555,2276458,0.71875
1651319802.1705709,2286494,0.71875
1651320196.098524,2296500,0.75
1651320602.7356985,2306567,0.6875
1651320986.512207,2316601,0.625
1651321386.1090872,2326612,0.78125
1651321783.077008,2336639,0.75
1651322169.2983732,2346690,0.65625
1651322547.1525784,2356723,0.625
1651322924.3372176,2366812,0.875
1651323319.5561953,2376817,0.71875
1651323671.2909734,2386883,0.71875
1651324033.85987,2396903,0.5625
1651324415.8482177,2406918,0.75
1651324762.6631498,2417055,0.84375
1651325138.2887871,2427074,0.9375
1651325547.8018486,2437225,0.65625
1651325945.1021273,2447229,0.6875
1651326316.799257,2457234,0.71875
1651326704.8764603,2467280,0.65625
1651327091.4302914,2477310,0.71875
1651327458.5990841,2487317,0.875
1651327847.96277,2497414,0.9375
