Wall time,Step,Value
1652839169.1708584,36,0.0
1652839605.7433925,10050,0.0
1652840051.1754615,20084,0.0
1652840501.9474359,30086,0.0
1652840969.510099,40088,0.0
1652841407.4072795,50114,0.0
1652841836.2407522,60118,0.0
1652842223.6001027,70148,0.0
1652842598.0281687,80177,0.0
1652842957.9846005,90193,0.0
1652843302.4140036,100206,0.0
1652843652.12444,110214,0.0
1652843972.3204703,120421,0.0
1652844305.1859474,130747,0.0
1652844596.5985618,141087,0.0
1652845006.698899,151468,0.0
1652845479.5369093,161470,0.0
1652846141.8291864,171482,0.0
1652846949.01982,181483,0.0
1652847655.647598,191512,0.0
1652848306.7493422,201523,0.0
1652849034.412313,211546,0.0
1652849701.1632648,221817,0.0
1652850429.3813186,231839,0.0
1652851191.7537727,241850,0.0
1652851955.2402425,251868,0.0
1652852697.9291227,261903,0.0
1652853456.9594755,271933,0.0
1652854138.5460896,281946,0.0
1652854802.125634,291949,0.0
1652855440.049952,302000,0.0
1652855960.5973337,312001,0.0
1652856590.8606126,322010,0.0
1652857180.75939,332027,0.0
1652857712.4139593,342038,0.0
1652858263.2858381,352056,0.0
1652858824.2424684,362099,0.0
1652859353.6174586,372129,0.0
1652859888.934658,382154,0.0
1652860361.1163216,392245,0.0
1652860804.596893,402267,0.0
1652861242.927505,412415,0.0
1652861662.9043798,422761,0.0
1652862082.4215322,432853,0.0
1652862512.4099078,442958,0.0
1652863004.7028391,452976,0.0
1652863407.3496256,463227,0.0
1652863876.026779,473278,0.0
1652864295.381811,483529,0.0
1652864707.9516807,493593,0.0
1652865102.1607013,503677,0.0
1652865488.6256208,514076,0.0
1652865855.362407,524096,0.0
1652866262.233587,534122,0.0
1652866644.0398211,544123,0.0
1652867006.9987826,554144,0.0
1652867373.712988,564160,0.0
1652867866.7943854,574212,0.0
1652868302.5551121,584452,0.0
1652868684.612688,594479,0.0
1652869036.5697641,604518,0.0
1652869487.2213118,614519,0.0
1652869896.47695,624534,0.0
1652870329.369663,634705,0.0
1652870731.2404058,645050,0.0
1652871123.9277494,655089,0.0
1652871500.104207,665195,0.0
1652871919.900218,675290,0.0
1652872328.0887687,685338,0.0
1652872776.117887,695420,0.0
1652873172.9535642,705781,0.0
1652873503.635241,716056,0.0
1652873899.5323792,726365,0.0
1652874327.3186953,736545,0.0
1652874748.9619422,746663,0.0
1652875134.3411539,756706,0.0
1652875536.9379334,766796,0.0
1652875870.807388,776833,0.0
1652876262.2108111,786840,0.0
1652876791.1744945,797027,0.0
1652877260.6951473,807055,0.0
1652877746.596291,817115,0.0
1652878245.6271887,827192,0.0
1652878760.3554242,837233,0.0
1652879295.840463,847266,0.0
1652879816.5026581,857327,0.0
1652880303.3866904,867425,0.0
1652880816.6144617,877480,0.0
1652881326.766784,887626,0.0
1652881849.0286205,897648,0.0
1652882351.0380676,907753,0.0
1652882873.9404297,917862,0.0
1652883385.2466362,927913,0.0
1652883858.1696734,937947,0.0
1652884344.3471372,947963,0.0
1652884831.7845669,957975,0.0
1652885326.4504871,968039,0.0
1652885829.4154987,978042,0.0
1652886318.7449896,988160,0.0
1652886768.4938262,998180,0.03125
1652887213.0186312,1008185,0.0
1652887672.4660428,1018265,0.03125
1652888109.2755606,1028383,0.0
1652888529.0761576,1038466,0.03125
1652888956.5944479,1048473,0.0625
1652889329.3591406,1058525,0.0
1652889733.3366413,1068555,0.0625
1652890183.4414592,1078744,0.03125
1652890591.2997317,1088797,0.0
1652890970.3038023,1098942,0.0
1652891349.2704985,1109012,0.0
1652891747.8247,1119068,0.0
1652892097.2830336,1129127,0.0
1652892488.1055522,1139135,0.0
1652892859.2996187,1149174,0.03125
1652893238.5690973,1159512,0.0
1652893629.9130073,1169596,0.0625
1652894022.4729223,1179608,0.0
1652894402.5303364,1189610,0.0
1652894813.0559247,1199640,0.1875
1652895223.6185863,1209929,0.03125
1652895558.4244175,1219985,0.0
1652895974.4879143,1230191,0.0
1652896325.670716,1240295,0.0
1652896762.1668735,1250434,0.03125
1652897138.808266,1260534,0.09375
1652897528.3727405,1270598,0.09375
1652897902.6639786,1280600,0.0
1652898300.609529,1290653,0.03125
1652898679.4053683,1300685,0.03125
1652899060.4705524,1310694,0.03125
1652899412.445811,1320817,0.03125
1652899798.9868927,1331038,0.03125
1652900194.8802927,1341110,0.09375
1652900545.8787,1351211,0.0
1652900901.2489219,1361292,0.0625
1652901267.2496197,1371336,0.0
1652901610.6078975,1381563,0.0
1652901977.942984,1391631,0.15625
1652902341.0093145,1401707,0.125
