Wall time,Step,Value
1653635759.3370392,28,0.0
1653636930.361043,10028,0.0
1653638578.9018407,20130,0.0
1653640256.2790117,30210,0.0
1653641922.5656424,40230,0.0
1653643872.4402623,50246,0.0
1653644714.8911707,60248,0.0
1653645561.277009,70257,0.03125
1653646502.282405,80276,0.0
1653647408.2171464,90303,0.0
1653648293.1360755,100318,0.0
1653649104.5424645,110324,0.0
1653649830.9484031,120340,0.0
1653650681.0754232,130343,0.0
1653651517.6108723,140358,0.0
1653652348.699335,150365,0.0
1653653089.1582382,160385,0.0
1653653768.839257,170413,0.0
1653654391.0390947,180435,0.0
1653655106.248529,190436,0.0
1653655847.2588403,200446,0.0
1653656658.7052975,210448,0.0
1653657350.1028135,220454,0.03125
1653658023.270188,230532,0.0
1653658706.946334,240550,0.0
1653659494.1921067,250552,0.03125
1653660467.770934,260553,0.0
1653661461.1919923,270570,0.0
1653662451.4990735,280572,0.0
1653663351.2580914,290585,0.1875
1653664331.922368,300607,0.21875
1653665321.4635959,310611,0.03125
1653666327.6039996,320625,0.0
1653667248.0546198,330636,0.0
1653668298.4225357,340656,0.125
1653669349.8544242,350664,0.03125
1653670323.9274435,360675,0.0625
1653671114.4859385,370689,0.0625
1653671871.971626,380695,0.0625
1653672562.328495,390705,0.15625
1653673206.9298506,400787,0.21875
1653673804.3734992,410805,0.3125
1653674487.5994854,420823,0.125
1653675129.1377287,430887,0.0625
1653675812.2875144,440903,0.21875
1653676544.336161,451042,0.125
1653677288.2238607,461070,0.09375
1653678140.7651813,471074,0.09375
1653678944.3906488,481141,0.1875
1653679767.8099964,491153,0.0625
1653680619.0142932,501160,0.1875
1653681542.2205112,511175,0.28125
1653682446.5480573,521197,0.15625
1653683396.0755937,531344,0.0
1653684293.9199038,541348,0.375
1653685205.4887257,551367,0.15625
1653686052.0277925,561376,0.1875
1653686935.7223363,571405,0.53125
1653687778.0595436,581415,0.53125
1653688607.2651641,591442,0.53125
1653689450.7835474,601451,0.6875
1653690367.5273263,611532,0.5
1653691251.099434,621544,0.6875
1653692109.3488512,631562,0.6875
1653692981.6985147,641566,0.59375
1653693818.782137,651566,0.5625
1653694662.3965135,661593,0.40625
1653695524.94701,671619,0.5625
1653696315.5408397,681641,0.78125
1653697149.115074,691667,0.71875
1653697974.0715485,701687,0.625
1653698799.406004,711709,0.65625
1653699600.104854,721731,0.75
1653700420.6445324,731829,0.6875
1653701172.1354685,741835,0.8125
1653701990.691696,751854,0.875
1653702772.326872,761877,0.6875
1653703553.3006442,771901,0.71875
1653704373.12539,781915,0.8125
1653705120.7018032,791924,0.90625
1653705854.3969948,802025,0.8125
1653706565.3870606,812041,0.9375
1653707266.260505,822044,1.0
1653708061.3915622,832046,0.75
1653708870.6744716,842058,0.9375
1653709674.2955825,852063,0.875
1653710503.9119415,862081,0.96875
1653711314.0640063,872094,0.8125
1653712161.502186,882099,0.96875
1653712964.7290127,892120,1.0
1653713831.6325707,902121,0.96875
1653714691.6911469,912121,0.96875
1653715551.096975,922130,0.875
1653716379.0919514,932143,0.9375
1653717189.658128,942158,0.90625
1653717992.2419088,952160,0.90625
1653718761.8776338,962180,0.96875
1653719519.3665547,972203,0.96875
1653720200.268837,982226,0.90625
1653720908.5056944,992231,0.9375
