Wall time,Step,Value
1652080733,59,0
1652081835,10089,0
1652083132,20120,0
1652084016,30150,0
1652084437,40169,0
1652084867,50182,0
1652085182,60213,0
1652085505,70226,0
1652085827,80257,0
1652086149,90328,0
1652086473,100352,0
1652086796,110410,0
1652087123,120437,0
1652087420,130504,0
1652087741,140586,0
1652088105,150620,0
1652088369,160719,0
1652088790,170873,0.09375
1652089185,180891,0.125
1652089504,190956,0.125
1652089803,200957,0.1875
1652090113,210986,0.21875
1652090454,221088,0.03125
1652090846,231095,0.40625
1652091229,241113,0.75
1652091644,251169,0.75
1652092048,261187,0.78125
1652092473,271197,0.9375
1652092904,281219,0.96875
1652093383,291258,0.71875
1652093884,301307,0.96875
1652094388,311319,0.9375
1652094976,321359,0.75
1652095513,331392,0.90625
1652096047,341411,0.90625
1652096543,351442,0.78125
1652097044,361471,0.90625
1652097646,371489,0.6875
1652098158,381509,0.875
1652098680,391555,0.8125
1652099156,401577,0.9375
1652099639,411629,0.9375
1652100148,421685,1
1652100645,431716,0.90625
1652101099,441760,0.90625
1652101684,451817,0.75
1652102395,461825,0.96875
1652103116,471865,0.9375
1652103830,481869,1
1652104376,491935,1
1652105039,501941,0.96875
1652105695,511971,0.96875
1652106356,522036,0.90625
1652106859,532076,0.8125
1652107522,542101,0.9375
1652108152,552109,0.875
1652108748,562156,0.96875
1652109344,572272,0.8125
1652109834,582299,0.9375
1652112635,592363,0.90625
1652114330,602393,0.9375
1652116603,612449,0.90625
1652118951,622523,0.96875
1652120609,632572,0.8125
1652123262,642592,0.96875
1652124063,652670,0.9375
1652124505,662750,0.9375
1652124984,672755,0.75
1652125430,682765,0.9375
1652125933,692769,0.9375
1652126455,702806,0.96875
1652126936,712837,0.84375
1652127435,722859,0.96875
1652127960,732897,1
1652128485,742918,0.90625
1652128998,752940,0.8725
1652129536,763026,0.88375
1652130080,773061,0.90625
1652130617,783063,0.9375
1652131156,793103,0.90625
1652131697,803120,0.96875
1652132230,813134,0.9375
1652132726,823307,0.90625
1652133233,833364,0.875
1652133797,843414,0.90625
1652134312,853447,0.8875
1652134815,863575,0.96875
1652135294,873629,0.90625
1652135773,883632,0.90625
1652136264,893735,0.9375
1652136787,903784,0.875
1652137338,913817,0.9375
1652137836,923861,0.875
1652138338,933959,0.9375
1652138841,944103,1
1652139370,954116,0.90625
1652139897,964136,0.9375
1652140423,974146,0.90625
1652140926,984219,1
1652141434,994226,1
