Wall time,Step,Value
1652234383.238967,53,0.0
1652236719.6303742,10092,0.03125
1652240360.9578066,20113,0.0625
1652244280.6481075,30148,0.0
1652247449.3554225,40158,0.0
1652250279.9334059,50188,0.0
1652252495.1206257,60206,0.0
1652253470.9774199,70240,0.0
1652254016.086037,80249,0.0
1652254530.925536,90284,0.0
1652255179.0173755,100311,0.0
1652255718.199325,110346,0.0
1652256207.6396465,120362,0.0
1652256657.9285104,130392,0.0
1652257202.5974905,140406,0.0
1652257758.249331,150420,0.0
1652259238.3907251,160430,0.0
1652261856.8314748,170446,0.0
1652262372.7509258,180466,0.0
1652262880.5935643,190473,0.03125
1652263418.1221213,200489,0.03125
1652263927.861518,210501,0.15625
1652264444.905331,220510,0.0
1652264947.254663,230571,0.25
1652265510.4539325,240585,0.03125
1652266154.0569367,250595,0.0
1652266701.9214687,260596,0.09375
1652267278.2497928,270599,0.21875
1652267839.2405787,280642,0.15625
1652268381.1728332,290654,0.25
1652268938.446737,300694,0.46875
1652269470.9843318,310710,0.75
1652269989.2981122,320728,0.6875
1652270500.2072535,330748,0.84375
1652270992.6213129,340763,0.9375
1652271493.1754177,350800,0.96875
1652271953.881017,360851,0.96875
1652272426.2514732,370897,0.9375
1652272890.6583097,380945,0.96875
1652273374.7648344,390957,1.0
1652273865.4636743,400973,0.9375
1652274293.9119916,410988,1.0
1652274776.8373399,421009,0.96875
1652275208.4124541,431076,1.0
1652275655.5246253,441105,1.0
1652276082.8575165,451137,1.0
1652276523.9021845,461167,0.96875
1652276982.4478319,471233,1.0
1652277433.0547566,481253,1.0
1652277883.7053418,491281,0.96875
1652278360.872642,501333,1.0
1652278829.272525,511349,1.0
1652282263.2927272,521382,0.90625
1652284398.2957616,531401,1.0
1652287640.2985978,541446,1.0
1652289711.8013146,551482,1.0
1652292575.590252,561516,1.0
1652294893.8204303,571520,1.0
1652298210.2847092,581528,1.0
1652300762.6935532,591532,1.0
1652303807.1606758,601540,0.96875
1652306706.9249914,611548,1.0
1652309556.945596,621583,1.0
1652312059.5995994,631597,1.0
1652312501.6497655,641635,0.96875
1652312930.605363,651654,1.0
1652313385.4405077,661679,1.0
1652313818.7727427,671709,1.0
1652314274.6588912,681715,1.0
1652314714.2696693,691716,0.96875
1652315142.5123975,701734,1.0
1652315572.808338,711801,1.0
1652316005.4512918,721850,1.0
1652316441.5204003,731907,1.0
1652316878.360428,741934,1.0
1652317319.6268365,751951,1.0
1652317744.4805367,761972,1.0
1652318173.4977398,771982,0.96875
1652318602.9536636,782022,0.96875
1652319074.0939825,792041,1.0
1652319534.5550327,802091,1.0
1652319986.379565,812095,1.0
1652320408.917039,822120,1.0
1652320857.859042,832155,1.0
1652321299.9854684,842174,1.0
1652321758.1543002,852222,1.0
1652322216.9732401,862264,1.0
1652322700.2575357,872303,1.0
1652323166.47819,882319,1.0
1652323629.6312428,892360,1.0
1652324079.13864,902364,1.0
1652324527.089814,912375,1.0
1652324979.2940178,922394,1.0
1652325435.9915078,932428,1.0
1652325895.701188,942463,1.0
1652326379.0406413,952470,1.0
1652326832.2076116,962502,1.0
1652327284.4260542,972533,0.96875
1652327720.9138248,982546,1.0
1652328175.176872,992613,0.9375
