Wall time,Step,Value
1650767057.5307105,55,0.0
1650767321.9099605,10181,0.0
1650767639.1597872,20204,0.0
1650767944.5007458,30278,0.0
1650768213.7832098,40540,0.0
1650768421.8966606,50619,0.0
1650768640.8611555,60690,0.0
1650768904.862428,70742,0.0
1650769254.5103307,80786,0.0
1650769687.480998,90788,0.0
1650770886.8556747,100815,0.0
1650772804.8729682,110840,0.0
1650775536.5186226,120875,0.0
1650778008.9355686,130898,0.0
1650778872.9979854,140907,0.0
1650779839.2931113,150941,0.0
1650780931.290373,160952,0.0
1650781972.7263646,170988,0.03125
1650782767.0493724,181020,0.0
1650783245.5451229,191027,0.0
1650783718.3937314,201044,0.5
1650784180.2171178,211056,0.5625
1650784646.387388,221083,0.40625
1650785105.6512372,231098,0.5
1650785548.2463915,241143,0.46875
1650785919.5035784,251175,0.25
1650786264.827842,261202,0.34375
1650786606.7680752,271207,0.65625
1650786931.6722193,281247,0.8125
1650787210.9240913,291274,0.5625
1650787398.0599775,301304,0.46875
1650787555.974467,311342,0.3125
1650787698.411795,321384,0.40625
1650787845.9791994,331407,0.78125
1650787998.3790636,341411,0.5
1650788162.366714,351451,0.03125
1650788322.3207464,361458,0.625
1650788485.7822251,371499,0.65625
1650788646.7004228,381518,0.59375
1650788807.4090338,391522,0.875
1650788977.9106827,401569,0.5
1650789136.0061443,411591,0.96875
1650789298.6203983,421619,0.78125
1650789453.3541467,431630,1.0
1650789615.2670481,441665,0.0625
1650789773.5842,451668,0.28125
1650789934.8020966,461673,0.75
1650790093.8994675,471694,0.5625
1650790253.3417463,481705,0.75
1650790407.8032782,491727,0.5
1650790567.6924002,501757,0.78125
1650790725.8200166,511800,0.59375
1650790884.740758,521843,0.40625
1650791043.4070878,531881,0.78125
1650791206.4268947,541895,0.53125
1650791363.2706528,551936,0.25
1650791514.6824174,561977,0.84375
1650791658.5158849,571977,0.375
1650791802.0290782,581978,0.40625
1650791952.9814632,591994,0.59375
1650792100.0120442,602035,0.5
1650792245.273469,612070,0.03125
1650792391.5628166,622082,0.0
1650792539.1043758,632111,0.6875
1650792686.57157,642126,0.65625
1650792847.5935488,652166,0.84375
1650793000.9358945,662175,0.59375
1650793169.8079073,672183,0.90625
1650793330.6489663,682188,0.78125
1650793490.6751096,692234,0.78125
1650793655.4268608,702244,0.625
1650793823.0272756,712250,0.65625
1650793987.6802564,722261,0.5
1650794155.4708428,732269,0.875
1650794324.9256194,742275,0.8125
1650794492.0413346,752317,0.8125
1650794671.5092685,762330,0.84375
1650794849.889472,772359,0.75
1650795034.106829,782369,1.0
1650795211.6403816,792375,0.9375
1650795392.820506,802387,1.0
1650795583.5440276,812428,0.9375
1650795788.3104186,822461,1.0
1650795983.7220373,832475,0.96875
1650796164.7012525,842479,0.96875
1650796364.7734628,852520,0.90625
1650796586.1141524,862535,1.0
1650796797.3334324,872578,1.0
1650797027.6703806,882589,1.0
1650797258.9578974,892590,1.0
1650797489.1666496,902615,1.0
1650797701.0424144,912640,0.96875
1650797929.427526,922672,1.0
1650798163.1538465,932700,1.0
1650798404.3981483,942738,1.0
1650798621.934353,952741,1.0
1650798868.170718,962771,1.0
1650799096.4312782,972784,0.90625
1650799313.7499382,982797,1.0
1650799534.7757342,992806,1.0
