Wall time,Step,Value
1652856440.1212356,74,0.0
1652856752.669079,10300,0.0
1652857090.8750448,20302,0.0
1652857389.2317274,30380,0.0
1652857739.357906,40402,0.0
1652858185.134759,50406,0.0
1652858564.7743568,60545,0.0
1652858853.5440264,70599,0.0
1652859135.6890416,80804,0.0
1652859416.9332173,90850,0.0
1652859770.8394613,100857,0.0
1652860180.9034789,110860,0.0
1652860611.1250775,120877,0.0
1652861051.2065468,130902,0.0
1652861462.2897792,140917,0.0
1652861886.8010533,150925,0.0
1652862296.2893932,160937,0.0
1652862682.6465652,170939,0.0
1652863050.680558,180946,0.0
1652863398.2700825,190964,0.0
1652863717.7411928,200974,0.0
1652864010.5178971,210975,0.0
1652864317.2909815,221025,0.0
1652864590.7987165,231050,0.0
1652864841.525664,241079,0.0
1652865081.4542916,251082,0.0
1652865347.7102637,261156,0.0
1652865601.4680722,271239,0.0
1652865849.5721977,281277,0.0
1652866079.1218584,291279,0.0
1652866323.0828662,301298,0.0
1652866565.387345,311357,0.0
1652866816.4064076,321363,0.0
1652867068.8018258,331550,0.0
1652867321.2579556,341629,0.0
1652867569.601376,351690,0.0
1652867836.9546335,361707,0.0
1652868112.639119,371801,0.0
1652868392.248569,381816,0.0
1652868628.0029995,391829,0.0
1652868879.7644172,401886,0.0
1652869131.4692893,411966,0.0
1652869372.3468943,421995,0.0
1652869640.9685745,432042,0.0
1652869903.5028858,442153,0.0
1652870161.0377164,452232,0.0
1652870426.546732,462413,0.0
1652870705.1688046,472432,0.0
1652870963.690167,482435,0.0
1652871233.4991539,492483,0.0
1652871487.3169158,502541,0.0625
1652871752.336015,512610,0.0
1652872034.3545616,522707,0.03125
1652872286.0261462,532740,0.0
1652872566.7812846,542793,0.0
1652872835.6941636,552937,0.0
1652873061.9195826,562993,0.0
1652873323.6334207,573019,0.0
1652873579.721851,583079,0.0625
1652873800.4889724,593095,0.0625
1652874075.1885157,603308,0.0
1652874358.5165749,613440,0.0
1652874606.5195558,623672,0.0
1652874894.4819229,633844,0.0625
1652875164.7933257,643926,0.03125
1652875442.2660089,653956,0.0625
1652875701.6876044,663980,0.0625
1652875979.4386857,674155,0.0
1652876252.2633533,684357,0.09375
1652876542.1029603,694388,0.03125
1652876821.5313375,704474,0.09375
1652877104.6522305,714482,0.21875
1652877383.7972667,724529,0.03125
1652877674.7132115,734707,0.03125
1652877952.5332904,744819,0.09375
1652878228.9627385,754892,0.15625
1652878504.78463,764897,0.0625
1652878784.2310386,775063,0.09375
1652879058.5512178,785169,0.125
1652879342.7900386,795271,0.15625
1652879634.7159574,805294,0.125
1652879874.7506316,815335,0.09375
1652880173.1453278,825375,0.09375
1652880447.3722403,835480,0.09375
1652880738.5679862,845670,0.09375
1652880977.356159,855709,0.25
1652881236.5581195,865765,0.1875
1652881508.296022,875966,0.0625
1652881762.6332233,886010,0.1875
1652882019.6386347,896059,0.1875
1652882269.907573,906086,0.375
1652882534.2213924,916207,0.3125
1652882821.9855742,926341,0.375
1652883073.6016629,936357,0.3125
1652883366.485222,946407,0.21875
1652883648.9222953,956457,0.34375
1652883895.2475052,966536,0.6875
1652884172.370938,976736,0.375
1652884432.581646,986832,0.53125
1652884719.355026,996852,0.34375
1652884959.882107,1006869,0.5
