Wall time,Step,Value
1655083291.5405023,22,0.0
1655083412.9081595,10050,0.0
1655083552.518422,20060,0.0
1655083694.9692426,30068,0.0
1655083832.9731252,40071,0.0
1655083968.8599408,50087,0.0
1655084105.754296,60096,0.0
1655084234.5085797,70105,0.0
1655084356.6998656,80124,0.0
1655084478.2972295,90129,0.0
1655084596.5205967,100140,0.0
1655084717.4982932,110150,0.0
1655084846.5323827,120164,0.0
1655084966.1621346,130172,0.03125
1655085085.6172264,140176,0.03125
1655085201.959696,150197,0.03125
1655085322.383858,160202,0.0
1655085441.3915105,170220,0.03125
1655085568.4293313,180225,0.0
1655085687.233172,190242,0.0
1655085804.436231,200255,0.09375
1655085921.0976136,210277,0.0
1655086040.10067,220277,0.125
1655086155.8404162,230278,0.0625
1655086280.6217735,240293,0.15625
1655086396.453626,250305,0.21875
1655086515.9048111,260325,0.40625
1655086631.4723442,270335,0.21875
1655086748.7218907,280337,0.3125
1655086865.4429157,290359,0.125
1655086989.899042,300381,0.53125
1655087103.5343182,310393,0.46875
1655087221.9080505,320396,0.59375
1655087335.7925475,330405,0.53125
1655087451.5103428,340416,0.40625
1655087566.5917614,350438,0.65625
1655087689.5701163,360439,0.59375
1655087806.8831635,370459,0.78125
1655087922.711165,380476,0.6875
1655088039.6348293,390483,0.71875
1655088155.3454475,400507,0.84375
1655088271.007313,410526,0.75
1655088392.341816,420529,0.78125
1655088507.360809,430546,0.625
1655088624.0862107,440612,0.78125
1655088743.1810744,450654,0.84375
1655088863.2221289,460659,0.6875
1655088985.4709418,470673,0.78125
1655089114.2527559,480694,0.78125
1655089233.555556,490714,0.875
1655089355.049089,500728,0.8125
1655089476.4740515,510746,0.875
1655089595.2448592,520757,0.8125
1655089715.7131393,530774,0.9375
1655089844.182635,540795,0.8125
1655089963.941577,550816,0.84375
1655090083.68796,560828,0.90625
1655090200.0395436,570831,0.8125
1655090317.2841897,580831,0.90625
1655090433.7130525,590833,0.75
1655090558.1517615,600840,0.90625
1655090674.6523924,610840,0.90625
1655090790.0532055,620857,0.875
1655090906.292651,630878,0.9375
1655091022.5370865,640883,0.875
1655091139.8989065,650902,0.90625
1655091264.1174603,660908,0.9375
1655091381.5983012,670911,0.96875
1655091496.96059,680918,0.84375
1655091614.0426292,690919,0.875
1655091731.4425004,700921,0.9375
1655091849.9248068,710928,0.9375
1655091975.9078345,720933,0.9375
1655092092.3864405,730941,0.9375
1655092208.1799176,740943,0.78125
1655092326.134619,750951,0.90625
1655092446.3429103,760975,0.8125
1655092563.629695,770982,0.875
1655092687.3784337,780999,0.96875
1655092805.0210724,791006,0.96875
1655092924.1106339,801013,0.9375
1655093042.052523,811025,0.96875
1655093159.1282504,821026,0.90625
1655093277.4525802,831046,0.90625
1655093403.1600344,841048,1.0
1655093520.6000576,851073,0.96875
1655093635.798225,861084,0.90625
1655093753.867971,871104,0.90625
1655093869.955822,881120,0.9375
1655093988.9939208,891134,0.875
1655094113.6475255,901145,0.9375
1655094231.4774542,911160,0.90625
1655094347.773858,921161,0.875
1655094465.8755393,931164,0.9375
1655094585.1371477,941186,0.96875
1655094705.1291525,951189,0.96875
1655094829.739261,961204,0.9375
1655094947.5170574,971231,0.78125
1655095064.91066,981252,0.875
1655095182.9769762,991255,0.90625
1655095302.8167214,1001259,0.875
1655095420.293705,1011262,0.875
1655095548.553824,1021262,0.9375
1655095666.7093878,1031265,0.96875
1655095784.4348953,1041287,0.9375
1655095898.9460323,1051309,0.9375
1655096016.2212563,1061315,0.90625
1655096133.4963305,1071323,1.0
1655096260.405509,1081336,0.90625
1655096380.8627052,1091338,0.78125
1655096499.0869524,1101364,1.0
1655096619.646696,1111380,0.96875
1655096738.9954453,1121389,0.875
1655096859.7146797,1131408,0.875
1655096985.7285042,1141434,0.84375
1655097103.7506676,1151435,0.875
1655097222.035727,1161450,0.875
1655097343.8767078,1171458,0.8125
1655097463.2741919,1181467,0.9375
1655097583.617498,1191516,0.84375
1655097710.4816625,1201535,0.9375
1655097831.2183287,1211542,0.96875
1655097949.1749282,1221546,0.84375
1655098069.8552444,1231557,0.9375
1655098188.8129563,1241579,0.90625
1655098308.6609464,1251582,0.875
1655098437.1437624,1261583,0.9375
1655098558.1027803,1271586,0.96875
1655098677.413112,1281598,0.9375
1655098795.3105254,1291606,1.0
1655098915.0898714,1301615,0.90625
1655099033.457857,1311627,0.84375
1655099160.840883,1321640,0.84375
1655099279.7883704,1331642,0.84375
1655099400.8617382,1341660,0.90625
1655099521.3393435,1351670,0.9375
1655099639.7133944,1361682,0.9375
1655099758.0792682,1371706,0.9375
1655099884.3587863,1381709,0.875
1655100000.9013612,1391709,0.9375
1655100118.1324244,1401713,0.75
1655100234.1908338,1411727,0.90625
1655100350.822205,1421731,0.96875
1655100469.204884,1431760,0.96875
1655100592.4959064,1441788,0.875
1655100709.7648313,1451805,0.90625
1655100824.9781275,1461828,0.875
1655100942.4493864,1471835,0.90625
1655101059.820024,1481836,0.96875
1655101176.9911053,1491843,0.9375
