Wall time,Step,Value
1653214823.3923018,15,0.0
1653215492.4741082,10024,0.0
1653216177.9975111,20208,0.03125
1653216605.2387927,30386,0.0
1653216979.7526565,40393,0.03125
1653217295.9010615,50394,0.375
1653217905.056998,60421,0.40625
1653218483.4110305,70593,0.28125
1653219090.7734835,80619,0.28125
1653219462.9855907,90760,0.28125
1653219826.8731918,100788,0.53125
1653220230.105717,110789,0.28125
1653220700.3022099,120795,0.53125
1653221149.121808,130795,0.40625
1653221621.8381152,140798,0.4375
1653222082.9095578,150804,0.78125
1653222533.0007215,160810,0.65625
1653222989.5230923,170888,0.78125
1653223450.795279,180896,0.3125
1653223954.6158292,191012,0.75
1653224499.4487636,201025,0.59375
1653225043.06386,211033,0.625
1653225587.0416613,221066,0.71875
1653226100.3915236,231173,0.71875
1653226541.2656918,241194,0.75
1653226984.605459,251365,0.6875
1653227448.1819499,261394,0.9375
1653227902.9000633,271408,0.8125
1653228375.2217445,281421,0.9375
1653228928.4735398,291434,0.96875
1653229581.5052736,301441,1.0
1653230212.2666962,311446,0.875
1653230739.0768576,321449,0.9375
1653231267.376021,331494,0.96875
1653231675.6633422,341543,0.9375
1653232111.539247,351547,1.0
1653232573.429646,361621,1.0
1653233113.7096019,371624,1.0
1653233832.4865923,381630,1.0
1653234604.6758204,391634,1.0
1653235336.231435,401645,1.0
1653236066.033354,411645,1.0
1653236649.9491055,421652,1.0
1653237116.586056,431665,0.96875
1653237537.2718997,441670,1.0
1653238016.500458,451673,0.96875
1653238568.4646611,461685,1.0
1653239114.7513556,471689,1.0
1653239657.3198435,481692,1.0
1653240203.7637215,491699,1.0
1653240736.9805384,501705,1.0
1653241233.156774,511710,1.0
1653241758.4957135,521710,1.0
1653242310.0145988,531724,1.0
1653242806.340581,541724,1.0
1653243307.8966267,551732,1.0
1653243810.0241253,561742,0.96875
1653244351.385155,571747,1.0
1653244944.8974547,581757,1.0
1653245483.9851944,591757,1.0
1653246053.5866387,601760,1.0
1653246582.7357943,611797,1.0
1653247152.7392876,621799,0.9375
1653247685.5179105,631799,0.96875
1653248282.4468584,641808,1.0
1653248864.07591,651817,1.0
1653249457.6111286,661819,1.0
1653250031.027092,671819,1.0
1653250534.8739312,681822,1.0
1653251086.9818854,691826,1.0
1653251645.277902,701830,1.0
1653252155.873629,711835,1.0
1653252723.6874316,721894,1.0
1653253325.4172378,731895,1.0
1653253928.839471,741902,1.0
1653254517.623162,751902,1.0
1653255097.2953146,761908,1.0
1653255643.7556596,771915,1.0
1653256196.7587228,781921,1.0
1653256731.6645963,791929,1.0
1653257291.131645,801933,1.0
1653257870.455809,811934,1.0
1653258452.1455376,821937,1.0
1653259043.7921598,831938,1.0
1653259618.3577712,841939,1.0
1653260177.3289993,851944,1.0
1653260771.9011405,861946,1.0
1653261359.1617126,871952,1.0
1653261968.4927135,881962,1.0
1653262583.5960033,891964,1.0
1653263170.7239168,901968,1.0
1653263771.936453,912100,1.0
1653264357.8718421,922107,1.0
1653264934.9167917,932113,1.0
1653265521.3415008,942113,1.0
1653266150.305867,952119,1.0
1653266734.951741,962124,1.0
1653267322.2497137,972124,1.0
1653267930.709732,982126,1.0
1653268526.3578665,992131,1.0
1653269105.520324,1002138,1.0
1653269693.1482024,1012143,1.0
1653270283.0260048,1022143,1.0
1653270861.2814796,1032145,1.0
1653271445.41273,1042148,1.0
1653272019.4072566,1052152,1.0
