Wall time,Step,Value
1652109779,36,0
1652114883,10068,0
1652120869,20079,0
1652126724,30105,0
1652132758,40115,0
1652134225,50127,0
1652134929,60142,0
1652135664,70142,0
1652136445,80144,0
1652137201,90160,0
1652137878,100172,0
1652138508,110209,0
1652139018,120210,0
1652139616,130220,0
1652140236,140280,0
1652140967,150409,0
1652141664,160558,0
1652142304,170579,0
1652142933,180720,0
1652143561,190733,0
1652144312,200763,0
1652145095,210785,0
1652145933,220801,0
1652146799,230964,0
1652147683,241019,0
1652148711,251058,0
1652149665,261099,0
1652150555,271109,0
1652151315,281137,0
1652152119,291145,0
1652152749,301203,0
1652153334,311234,0
1652153888,321353,0
1652154463,331448,0
1652155022,341452,0
1652155786,351631,0
1652156547,361681,0
1652157399,371850,0
1652158264,381861,0
1652159333,392037,0
1652160573,402057,0
1652161784,412073,0
1652162967,422087,0
1652164080,432114,0
1652165201,442133,0
1652166301,452258,0
1652167437,462413,0
1652168453,472428,0
1652169484,482436,0
1652170537,492449,0
1652171581,502468,0
1652172646,512484,0
1652173801,522496,0
1652174812,532516,0
1652175784,542520,0
1652176715,552535,0
1652177503,562541,0
1652178247,572556,0
1652179043,582578,0
1652179900,592606,0.03125
1652180821,602630,0
1652181760,612636,0
1652182703,622660,0
1652183573,632687,0.125
1652184483,642712,0
1652185424,652743,0
1652190103,662752,0
1652194228,672756,0
1652198660,682783,0
1652202640,692810,0.0625
1652206584,702823,0.09375
1652210286,712831,0.03125
1652214189,722852,0.09375
1652218199,732864,0.28125
1652221825,742871,0.125
1652225521,752901,0.25
1652229233,762917,0.09375
1652232695,772940,0.1875
1652235897,782947,0.25
1652239284,792968,0.1875
1652242428,802969,0.1875
1652245574,812984,0.1875
1652248663,823011,0.3125
1652252241,833044,0.28125
1652256377,843071,0.15625
1652260324,853161,0.25
1652264689,863200,0.375
1652268961,873227,0.46875
1652273106,883242,0.25
1652277896,893245,0.40625
1652282440,903257,0.28125
1652287057,913286,0.25
1652291955,923303,0.25
1652296974,933321,0.1875
1652301780,943334,0.25
1652306924,953352,0.28125
1652311623,963374,0.1875
1652316547,973405,0.28125
1652321203,983428,0.1875
1652326309,993428,0.28125
1652330465,1003463,0.09375
1652334563,1013490,0.25
1652337862,1023491,0.53125
1652339807,1033507,0.375
1652340606,1043513,0.5
1652341425,1053613,0.46875
1652342203,1063648,0.375
1652342943,1073660,0.3125
1652343510,1083660,0.28125
1652344102,1093684,0.46875
1652344791,1103700,0.34375
1652345499,1113765,0.34375
1652346119,1123800,0.1875
1652346823,1133815,0.28125
1652347588,1143852,0.34375
1652348409,1153868,0.5
1652349277,1163897,0.375
1652350218,1173929,0.40625
1652351090,1183946,0.46875
1652352030,1193951,0.5
1652352917,1203962,0.46875
1652353817,1214063,0.71875
1652354710,1224090,0.5625
1652355574,1234093,0.53125
1652356509,1244127,0.59375
1652357404,1254127,0.5625
1652358321,1264142,0.40625
1652359205,1274148,0.4375
1652360076,1284162,0.40625
1652360952,1294166,0.53125
1652361816,1304173,0.75
1652362691,1314202,0.625
1652363526,1324205,0.625
1652364349,1334313,0.59375
1652365237,1344334,0.53125
1652366093,1354338,0.625
1652366803,1364354,0.59375
1652367540,1374382,0.375
1652368259,1384405,0.375
1652368991,1394446,0.5625
1652369716,1404468,0.46875
1652370476,1414626,0.75
1652371209,1424719,0.59375
1652371903,1434759,0.6875
1652372586,1444781,0.5625
1652373225,1454807,0.65625
1652373906,1464861,0.71875
1652374738,1474870,0.84375
1652375604,1484878,0.625
1652376515,1494895,0.75
1652377402,1504904,0.8125
1652378275,1515012,0.84375
1652379189,1525049,0.8125
1652380107,1535068,0.71875
1652380986,1545099,0.875
1652381868,1555109,0.53125
1652382761,1565126,0.71875
1652383650,1575153,0.5625
1652384473,1585157,0.75
1652385331,1595158,0.78125
1652386212,1605180,0.59375
1652387111,1615204,0.8125
1652388015,1625217,0.78125
1652388918,1635253,0.75
1652389835,1645262,0.625
1652390742,1655289,0.6875
1652391665,1665309,0.75
1652392548,1675342,0.71875
1652393372,1685366,0.65625
1652394189,1695374,0.75
1652394993,1705394,0.78125
1652395760,1715427,0.8125
1652396533,1725456,0.75
1652397304,1735472,0.625
1652398140,1745498,0.625
1652398907,1755511,0.75
1652399711,1765525,0.78125
1652400517,1775534,0.65625
1652401297,1785548,0.71875
1652402115,1795550,0.84375
1652402964,1805556,0.78125
1652403797,1815574,0.96875
1652404605,1825581,0.90625
1652405429,1835621,0.875
1652406246,1845653,0.75
1652407003,1855674,0.84375
1652407800,1865750,0.75
1652408645,1875775,0.8125
1652409565,1885794,0.6875
1652410425,1895838,0.84375
1652411324,1905866,0.90625
1652412234,1915894,0.9375
1652413161,1925920,0.84375
1652414077,1935945,0.84375
1652414980,1945957,0.90625
1652415869,1955981,0.8125
1652416768,1965990,0.96875
1652417639,1975996,0.84375
1652418458,1986021,0.90625
1652419335,1996030,0.84375
1652420191,2006049,0.875
1652421003,2016060,0.84375
1652421860,2026060,0.84375
1652422693,2036072,0.90625
1652423530,2046103,0.84375
1652424352,2056148,0.96875
1652425142,2066176,0.875
1652425969,2076211,0.625
1652426747,2086244,0.84375
1652427510,2096275,0.9375
1652428281,2106297,0.875
1652429016,2116327,0.9375
1652429768,2126359,0.90625
1652430516,2136365,0.84375
1652431254,2146372,0.90625
1652432012,2156412,0.875
1652432741,2166430,0.8125
