Wall time,Step,Value
1652407182.1999707,39,0.0
1652407332.2937605,10056,0.0
1652407496.37891,20067,0.0
1652407660.99945,30081,0.0
1652407829.1269815,40095,0.0
1652408010.9965506,50124,0.0
1652408151.7165327,60142,0.0
1652408293.150213,70170,0.0
1652408440.2721038,80193,0.0
1652408585.4323664,90198,0.0
1652408740.1598701,100253,0.0
1652408864.992823,110287,0.0
1652408975.0082738,120294,0.0
1652409075.1826448,130354,0.0
1652409187.1672664,140368,0.0
1652409331.3776517,150497,0.0
1652409532.4941945,160499,0.0
1652409754.7433045,170518,0.0
1652409989.0702684,180526,0.0
1652410209.0414314,190528,0.0
1652410422.5847092,200605,0.0
1652410635.1391132,210606,0.0
1652410847.6321476,220611,0.0
1652411061.3514488,230624,0.0
1652411279.0753293,240626,0.0
1652411491.762849,250642,0.0
1652411705.3913016,260667,0.0
1652411932.8549058,270689,0.0
1652412145.0542498,280701,0.0
1652412350.0256271,290730,0.0
1652412541.7667956,300753,0.0
1652412673.8688178,310761,0.0
1652412806.3130813,320781,0.0
1652412932.6328566,330804,0.0
1652413054.7966866,340804,0.0
1652413173.3893425,350824,0.0
1652413298.2782981,360837,0.0
1652413422.7406359,370860,0.0
1652413551.081942,380872,0.0
1652413673.4443917,390908,0.0
1652413803.95899,400931,0.0
1652413928.8345397,410958,0.0
1652414054.0752108,420991,0.0
1652414180.7031057,431005,0.0
1652414313.4291017,441029,0.0
1652414447.7969687,451047,0.03125
1652414588.1435258,461068,0.03125
1652414725.2783706,471096,0.0625
1652414868.2232,481131,0.0625
1652415017.7891932,491191,0.0
1652415159.5929136,501218,0.0625
1652415299.4512026,511235,0.0625
1652415437.3114452,521259,0.03125
1652415576.2542984,531292,0.03125
1652415716.0958796,541318,0.03125
1652415856.3927417,551420,0.0
1652416000.0395687,561456,0.03125
1652416143.3075018,571484,0.03125
1652416291.7085552,581504,0.0
1652416445.9970307,591557,0.0625
1652416592.3706136,601569,0.0625
1652416749.6764297,611570,0.03125
1652416906.1347482,621590,0.0625
1652417063.8416393,631632,0.09375
1652417225.8551502,641667,0.03125
1652417387.1837792,651670,0.0625
1652417560.448808,661711,0.03125
1652417727.6430743,671733,0.03125
1652417895.2392201,681759,0.03125
1652418059.1824596,691791,0.0625
1652418221.0717156,701822,0.03125
1652418391.6711574,711843,0.0625
1652418544.1313171,721862,0.03125
1652418705.896446,731992,0.0
1652418868.8939874,742001,0.03125
1652419029.3428628,752032,0.09375
1652419185.673805,762048,0.15625
1652419346.2814982,772102,0.09375
1652419503.021843,782109,0.0
1652419654.9275615,792113,0.09375
1652419804.5457897,802144,0.0
1652419953.7541409,812148,0.0625
1652420110.8944175,822173,0.15625
1652420260.0470152,832192,0.1875
1652420400.9499228,842239,0.09375
1652420548.3742309,852272,0.21875
1652420693.2047057,862278,0.21875
1652420842.1310942,872301,0.15625
1652420993.6118178,882309,0.1875
1652421142.8993945,892309,0.0625
1652421290.3375125,902341,0.0625
1652421438.0912263,912352,0.15625
1652421593.8266017,922352,0.125
1652421746.0108662,932379,0.21875
1652421885.6940286,942393,0.1875
1652422031.2802558,952418,0.25
1652422183.8452554,962432,0.1875
1652422336.2520156,972468,0.53125
1652422488.7681258,982506,0.5
1652422648.6448991,992531,0.53125
1652422804.296784,1002536,0.5
1652422954.4889092,1012571,0.5
1652423104.4155312,1022605,0.5
1652423259.140829,1032609,0.625
1652423420.0888538,1042614,0.40625
1652423574.296301,1052634,0.59375
1652423720.5606623,1062662,0.4375
1652423868.958429,1072678,0.6875
1652424017.7056935,1082700,0.65625
1652424172.3841455,1092713,0.78125
1652424325.8786004,1102742,0.625
1652424469.3000479,1112758,0.5625
1652424614.5562775,1122786,0.8125
1652424762.9057336,1132835,0.8125
1652424908.224519,1142841,0.4375
1652425060.9040127,1152857,0.875
1652425205.1510298,1162861,0.8125
1652425347.0452864,1172909,0.625
1652425484.7185633,1182914,0.8125
1652425624.3993673,1192928,0.84375
1652425767.757634,1202972,0.6875
1652425909.263036,1212974,0.84375
1652426046.149888,1222990,0.78125
1652426183.5487955,1233001,0.78125
1652426323.91564,1243144,0.75
