Wall time,Step,Value
1654099981.741358,23,0.0
1654100093.3125577,10025,0.0
1654100213.7618616,20041,0.0
1654100332.9698374,30044,0.0
1654100471.443064,40071,0.0
1654100617.964159,50096,0.0
1654100817.5082932,60097,0.0
1654100988.7117934,70102,0.0
1654101158.3139863,80127,0.0
1654101317.1389935,90128,0.0
1654101477.83804,100128,0.0
1654101630.892143,110130,0.0
1654101786.2366989,120137,0.0
1654101919.3110507,130154,0.0
1654102051.9532197,140154,0.0
1654102188.9997432,150159,0.0
1654102319.0030618,160179,0.0
1654102454.0155752,170187,0.0
1654102582.1312351,180215,0.0
1654102689.4729722,190217,0.0
1654102794.5780885,200218,0.0
1654102900.206551,210221,0.0
1654103009.2234428,220227,0.0
1654103121.5907469,230246,0.0
1654103239.5768247,240250,0.0
1654103351.2535837,250263,0.0
1654103465.551309,260265,0.0
1654103579.7971537,270271,0.0
1654103694.152847,280277,0.0
1654103806.7428412,290309,0.0
1654103921.7867477,300324,0.0
1654104034.8384717,310348,0.0
1654104146.9522858,320349,0.0
1654104257.4050064,330363,0.0
1654104370.223508,340379,0.0
1654104481.8688674,350388,0.0
1654104596.9011614,360401,0.0
1654104706.1663277,370403,0.0
1654104813.7864227,380409,0.0
1654104921.3195286,390414,0.0
1654105029.3241343,400424,0.0
1654105137.016356,410435,0.0
1654105250.4642487,420439,0.0
1654105357.907355,430440,0.0
1654105465.5227149,440471,0.0
1654105572.416516,450486,0.0
1654105678.810569,460498,0.0
1654105785.12403,470519,0.0
1654105896.0211098,480530,0.0
1654105998.1778018,490545,0.0
1654106100.9864714,500550,0.0
1654106203.511748,510553,0.0
1654106309.3902116,520583,0.0
1654106414.533448,530603,0.0
1654106525.4532852,540634,0.0
1654106630.1567867,550638,0.0
1654106735.8632495,560660,0.0
1654106841.4068162,570687,0.0
1654106947.303602,580718,0.0
1654107059.8498921,590740,0.0
1654107165.3184333,600745,0.0
1654107271.214874,610758,0.0
1654107378.5419304,620770,0.0
1654107485.0904815,630772,0.0
1654107592.7571168,640801,0.0
1654107704.8737035,650819,0.0
1654107812.6067867,660843,0.0
1654107919.1025045,670860,0.0
1654108026.6127315,680873,0.0
1654108134.6539128,690881,0.0
1654108241.7819035,700888,0.0
1654108355.8392937,710920,0.0
1654108463.4057806,720924,0.0
1654108570.9481156,730929,0.0
1654108678.9493604,740940,0.0
1654108786.999209,750955,0.0
1654108895.418883,760962,0.0
1654109009.7412498,770985,0.0
1654109117.95075,781016,0.0
1654109225.9876955,791044,0.0
1654109334.4328156,801054,0.0
1654109442.3257873,811078,0.0
1654109550.783989,821098,0.0
1654109664.6798313,831128,0.0
1654109772.1004987,841134,0.0
1654109879.6344128,851158,0.0
1654109986.7322016,861178,0.0
1654110094.1687608,871196,0.0
1654110201.805939,881217,0.0
1654110314.0842717,891223,0.0
1654110420.14996,901223,0.0
1654110527.0513985,911246,0.0
1654110634.2030804,921275,0.0
1654110741.4653497,931296,0.0
1654110854.3591032,941315,0.0
1654110961.6203256,951343,0.0
1654111068.6544478,961343,0.0
1654111175.5790098,971362,0.0
1654111283.2544599,981363,0.0
1654111391.6017072,991381,0.0
1654111505.740327,1001411,0.0
1654111612.6610947,1011425,0.0
1654111720.1199367,1021426,0.0
1654111827.5892913,1031431,0.0
1654111934.6501546,1041437,0.0
1654112042.1243799,1051445,0.0
1654112154.7987568,1061455,0.0
1654112262.1202502,1071487,0.0
1654112369.5241754,1081519,0.0
1654112476.6809628,1091543,0.0
1654112584.1739404,1101558,0.0
1654112692.4241252,1111584,0.0
1654112806.0852,1121610,0.0
1654112914.3544877,1131626,0.0
1654113021.8279426,1141652,0.0
1654113129.1244102,1151678,0.0
1654113236.5701554,1161684,0.0
1654113344.0008519,1171689,0.0
1654113457.8911283,1181707,0.0
1654113565.8138664,1191731,0.0
1654113673.151283,1201749,0.0
1654113781.110005,1211750,0.0
1654113889.4740126,1221778,0.0
1654113997.3594728,1231794,0.0
1654114111.000079,1241814,0.0
1654114218.9173334,1251846,0.0
1654114327.0798357,1261856,0.0
1654114435.2196152,1271856,0.0
1654114542.9266546,1281874,0.0
1654114657.4865956,1291886,0.0
1654114765.4988925,1301897,0.0
1654114873.920871,1311926,0.0
1654114982.0098298,1321941,0.0
1654115090.600522,1331961,0.03125
1654115199.1791854,1341987,0.0
1654115313.4800608,1352005,0.0
1654115421.5614421,1362024,0.0
1654115530.452513,1372027,0.0
1654115638.7223754,1382041,0.0
1654115747.5398488,1392059,0.0
1654115856.536865,1402085,0.0
1654115970.8617964,1412120,0.0
1654116079.4150069,1422121,0.0
1654116187.615578,1432133,0.0
1654116296.7687862,1442148,0.0
1654116406.3187191,1452185,0.0
1654116517.3133397,1462217,0.0
1654116631.5153031,1472217,0.0
1654116739.7274725,1482256,0.0
1654116848.4473422,1492295,0.0
1654116957.0536873,1502332,0.0
1654117065.3537726,1512356,0.0
1654117180.0480669,1522390,0.0
1654117288.0003376,1532392,0.0
1654117396.3395004,1542400,0.0
1654117504.8079793,1552418,0.0
1654117613.7209945,1562428,0.0
1654117723.4520981,1572455,0.0
1654117838.5434458,1582459,0.0
1654117947.7548463,1592481,0.0
1654118057.3656123,1602500,0.0
1654118165.735327,1612509,0.0
1654118274.8226242,1622526,0.0
1654118384.7717502,1632530,0.0
1654118499.6944587,1642537,0.0
1654118608.8944871,1652540,0.0
1654118717.7689636,1662576,0.0
1654118825.9305449,1672601,0.0
1654118935.8264031,1682637,0.0
1654119045.7673192,1692638,0.0
1654119161.0649848,1702661,0.0
1654119270.293836,1712687,0.0
1654119380.2028818,1722688,0.0
1654119489.827549,1732722,0.0
1654119599.1549277,1742740,0.0
1654119708.592891,1752743,0.0
1654119823.628585,1762747,0.0
1654119932.630572,1772749,0.0
1654120042.4390576,1782782,0.0
1654120151.6924329,1792807,0.0
1654120260.5776582,1802814,0.0
1654120375.8045502,1812838,0.0
1654120484.8140388,1822843,0.0
1654120593.656465,1832864,0.0
1654120702.1727176,1842875,0.0
1654120811.8862443,1852904,0.03125
1654120922.4103773,1862930,0.0
1654121037.6550448,1872957,0.0
1654121146.3859074,1882971,0.0
1654121255.743052,1892996,0.0
1654121364.5753238,1903004,0.0
1654121474.3979912,1913020,0.0
1654121584.2803125,1923029,0.0
1654121700.5996444,1933048,0.0
1654121810.7172406,1943068,0.0
1654121921.3106582,1953085,0.0
1654122031.7727854,1963116,0.0
1654122142.373013,1973148,0.0
1654122252.911232,1983169,0.0
1654122368.8856907,1993171,0.0
1654122477.617129,2003183,0.0
1654122588.3765981,2013218,0.0
1654122697.6208847,2023248,0.0
1654122807.0522106,2033252,0.0
1654122916.5475802,2043279,0.0
1654123032.9289918,2053298,0.0
1654123142.1381958,2063314,0.0
1654123251.6018665,2073332,0.0
1654123360.7931585,2083338,0.0
1654123469.7832892,2093339,0.0
1654123585.8944645,2103343,0.0
1654123694.6474946,2113372,0.0
1654123803.500751,2123399,0.0
1654123913.2539587,2133432,0.0
1654124022.5199704,2143445,0.0
1654124132.3369298,2153481,0.0
1654124248.338661,2163497,0.0
1654124357.968878,2173514,0.0
1654124466.9409137,2183542,0.0
1654124576.1522956,2193547,0.03125
1654124686.2904387,2203579,0.0
1654124796.4363213,2213589,0.0
1654124912.3230665,2223592,0.0
1654125022.828045,2233627,0.0
1654125133.2757213,2243631,0.0
1654125243.1652925,2253631,0.03125
1654125353.2309203,2263661,0.0
1654125464.3789077,2273687,0.0
1654125580.759445,2283690,0.03125
1654125691.6891384,2293716,0.03125
1654125802.658311,2303736,0.0
1654125911.7274601,2313736,0.0
1654126021.860895,2323756,0.0
1654126131.8705747,2333768,0.0
1654126248.6205418,2343785,0.03125
1654126358.783564,2353803,0.0
1654126469.499687,2363816,0.03125
1654126580.2869124,2373847,0.0
1654126690.769565,2383878,0.0
1654126808.0920784,2393908,0.03125
1654126919.430583,2403917,0.03125
1654127029.9023743,2413927,0.0
1654127141.1075678,2423960,0.0
1654127253.3352256,2433980,0.0
1654127365.5314093,2443983,0.0
1654127482.2348242,2454002,0.03125
1654127593.9251606,2464039,0.0625
1654127705.722859,2474064,0.0625
1654127818.099325,2484088,0.03125
1654127930.5484529,2494094,0.03125
1654128043.6673353,2504125,0.09375
1654128162.4749722,2514156,0.0625
1654128274.3772647,2524159,0.0
1654128387.8132281,2534187,0.0625
1654128500.464283,2544223,0.0625
1654128612.2957807,2554231,0.03125
1654128724.8231387,2564234,0.0625
1654128842.6561077,2574249,0.0625
1654128954.818066,2584262,0.0
1654129067.296269,2594284,0.0
1654129178.7850482,2604294,0.125
1654129290.7594886,2614294,0.09375
1654129408.6164777,2624321,0.0625
1654129519.7871668,2634326,0.03125
1654129632.006658,2644346,0.03125
1654129744.3441005,2654379,0.0625
1654129856.1398232,2664405,0.0625
1654129967.530585,2674406,0.03125
1654130085.1979787,2684427,0.15625
1654130198.0333464,2694445,0.03125
1654130311.037381,2704475,0.09375
1654130423.403103,2714513,0.09375
1654130537.0751443,2724530,0.03125
1654130649.341696,2734541,0.0625
1654130768.862263,2744571,0.0625
1654130883.4766042,2754603,0.03125
1654130996.5609977,2764632,0.0
1654131109.8898342,2774654,0.0625
1654131225.3398838,2784694,0.125
1654131345.9839332,2794727,0.09375
1654131458.8384104,2804756,0.09375
1654131573.7686617,2814789,0.15625
1654131687.0969324,2824809,0.03125
1654131802.405154,2834838,0.15625
1654131915.903636,2844852,0.0
1654132035.4551995,2854880,0.09375
1654132149.4769268,2864885,0.21875
1654132263.2604146,2874887,0.125
1654132377.7742913,2884917,0.0625
1654132492.0948856,2894931,0.125
1654132606.7061157,2904960,0.15625
1654132725.523606,2914992,0.21875
1654132840.6616483,2925004,0.15625
1654132954.1633203,2935034,0.0625
1654133068.4029047,2945069,0.0625
1654133182.5271137,2955079,0.09375
1654133302.9229326,2965087,0.1875
1654133417.8220844,2975098,0.03125
1654133532.514784,2985102,0.03125
1654133647.1373043,2995113,0.0625
1654133761.807302,3005121,0.125
1654133876.5675213,3015135,0.0625
1654133998.6828132,3025148,0.125
1654134113.0780823,3035163,0.0
1654134228.0739348,3045190,0.03125
1654134341.003727,3055206,0.0625
1654134455.524202,3065222,0.1875
1654134571.5589695,3075244,0.1875
1654134691.405152,3085259,0.125
1654134805.8310812,3095261,0.15625
1654134919.690186,3105298,0.0
1654135035.5260088,3115345,0.1875
1654135151.1600125,3125376,0.15625
1654135272.1325161,3135396,0.03125
1654135385.5753922,3145404,0.1875
1654135499.9492524,3155411,0.09375
1654135615.83486,3165442,0.09375
1654135731.4631388,3175475,0.125
1654135845.6063316,3185483,0.1875
1654135966.767896,3195506,0.125
1654136085.7493968,3205531,0.125
1654136201.0910847,3215549,0.09375
1654136319.3076303,3225575,0.09375
1654136436.3189883,3235612,0.15625
1654136554.3799891,3245639,0.0625
1654136676.913969,3255663,0.15625
1654136793.3044586,3265689,0.125
1654136911.9976208,3275713,0.0625
1654137030.362688,3285739,0.09375
1654137147.9683087,3295746,0.0625
1654137263.0826316,3305754,0.125
1654137386.8926723,3315766,0.09375
1654137503.9930212,3325795,0.03125
1654137623.9354591,3335836,0.0625
1654137742.179161,3345868,0.21875
1654137858.3802557,3355887,0.125
1654137983.5491164,3365905,0.1875
1654138102.4886217,3375936,0.1875
1654138221.3647351,3385970,0.0625
1654138340.235714,3395984,0.0625
1654138458.4657125,3406007,0.0625
1654138576.536822,3416013,0.1875
1654138700.8369732,3426035,0.21875
1654138819.7303789,3436066,0.15625
1654138937.9487123,3446072,0.125
1654139059.5776076,3456083,0.15625
1654139180.1848347,3466100,0.125
1654139300.786112,3476108,0.15625
1654139425.6971138,3486131,0.28125
1654139546.080609,3496162,0.15625
1654139663.2883615,3506167,0.125
1654139782.5732677,3516192,0.0
1654139901.3809183,3526199,0.0625
