Wall time,Step,Value
1652243148.7442112,35,0.0
1652243579.4210212,10051,0.0
1652244084.0521722,20059,0.0
1652244645.9670253,30078,0.0
1652245234.8392472,40090,0.0
1652245844.2188401,50108,0.0
1652246252.116223,60125,0.0
1652246630.976345,70150,0.0
1652247038.8963778,80168,0.0
1652247459.6526709,90196,0.0
1652247896.4330618,100216,0.0
1652248308.8712301,110223,0.0
1652248724.4773903,120245,0.0
1652249127.489458,130262,0.0
1652249506.2511716,140289,0.0
1652249816.107056,150289,0.0
1652250122.026581,160292,0.0
1652250435.969608,170310,0.0
1652250646.3572714,180329,0.0
1652250781.370924,190353,0.0
1652250902.2000692,200365,0.0
1652251020.8018532,210386,0.0
1652251134.897837,220513,0.0
1652251252.1071494,230513,0.0
1652251359.633827,240535,0.0
1652251476.1736972,250540,0.0
1652251600.7790422,260559,0.0
1652251721.3063867,270580,0.0
1652251854.8161554,280601,0.0
1652251994.649153,290630,0.0
1652252132.6598423,300657,0.0
1652252268.665933,310684,0.0
1652252404.8384345,320701,0.0
1652252546.5340843,330730,0.0
1652252684.4508343,340737,0.0
1652252830.7369578,350757,0.0
1652252964.5622203,360762,0.0
1652253100.1543164,370781,0.0
1652253229.732667,380803,0.03125
1652253353.292162,390816,0.0625
1652253473.4288428,400844,0.0
1652253596.4450696,410856,0.125
1652253716.6949656,420894,0.0625
1652253837.7072778,430964,0.0
1652253972.8539042,440983,0.0
1652254106.9834852,451108,0.09375
1652254251.672774,461130,0.1875
1652254389.7868776,471134,0.0
1652254537.6380355,481143,0.03125
1652254680.0256596,491167,0.0
1652254827.607977,501168,0.0
1652254982.3366258,511171,0.0
1652255129.6894202,521189,0.03125
1652255280.2425687,531205,0.03125
1652255422.7743366,541220,0.15625
1652255556.4692035,551240,0.09375
1652255707.5409844,561271,0.1875
1652255868.2764103,571271,0.15625
1652256016.5032632,581280,0.1875
1652256149.8713171,591428,0.15625
1652256300.938452,601490,0.28125
1652256442.8737109,611514,0.1875
1652256589.479543,621522,0.28125
1652256734.295187,631522,0.65625
1652256868.7237499,641558,0.46875
1652257011.4997067,651568,0.3125
1652257151.0773466,661628,0.09375
1652257291.7362711,671656,0.34375
1652257431.0404139,681695,0.25
1652257579.1272337,691719,0.46875
1652257723.1750534,701768,0.375
1652257866.4276214,711772,0.40625
1652258009.7654674,721790,0.53125
1652258151.9860575,731817,0.4375
1652258295.5740542,741832,0.4375
1652258447.4865572,751860,0.5625
1652258597.583975,761869,0.78125
1652258743.1060164,771886,0.84375
1652258885.6029859,781904,0.8125
1652259031.1051767,791939,0.625
1652259181.4145772,801946,0.75
1652259330.0286043,812121,0.71875
