Wall time,Step,Value
1652672096.7480698,34,0.0
1652672244.4135623,10051,0.0
1652672410.5906029,20076,0.0
1652672559.1322534,30079,0.0
1652672693.4519088,40110,0.0
1652672884.3066912,50130,0.0
1652673071.6047707,60130,0.0
1652673237.5102496,70154,0.0
1652673393.1358008,80161,0.0
1652673551.1102276,90356,0.0
1652673757.4172876,100365,0.0
1652673949.750161,110383,0.0
1652674160.5185814,120391,0.0
1652674350.5152388,130397,0.0
1652674545.7589967,140420,0.0
1652674725.4199715,150429,0.0
1652674897.5996795,160437,0.0
1652675059.7697566,170442,0.0
1652675260.0349998,180811,0.0
1652675414.6130166,190817,0.0
1652675626.0560553,200981,0.0
1652675790.8567717,211007,0.0
1652675952.8824034,221033,0.0
1652676182.785842,231162,0.0
1652676463.3960657,241191,0.0
1652676729.9273603,251232,0.0
1652677043.3557172,261240,0.0
1652677344.7810993,271565,0.0
1652677607.7430081,281571,0.0
1652677897.6195006,291586,0.0
1652678215.3679037,301603,0.0
1652678545.3643303,311615,0.0
1652678853.9000628,321617,0.0
1652679202.262926,331633,0.0
1652679509.8543131,341651,0.0
1652679866.0208087,351672,0.0
1652680191.3900487,361686,0.0
1652680535.7998476,371686,0.0
1652680861.1969216,381693,0.0
1652681207.0757356,391979,0.0
1652681530.6517713,401996,0.0
1652681871.9890823,412025,0.0
1652682202.0356355,422042,0.0
1652682512.6160462,432061,0.0
1652682815.248539,442099,0.0
1652683065.2948842,452123,0.0
1652683296.772502,462150,0.0
1652683536.0574212,472175,0.0
1652683754.9842374,482205,0.0
1652683980.4893625,492211,0.0
1652684206.4534829,502232,0.0
1652684429.7314389,512259,0.0
1652684660.490505,522265,0.0
1652684893.5540812,532308,0.0
1652685080.9367235,542335,0.0
1652685295.4845924,552361,0.0
1652685503.0741594,562363,0.0
1652685710.8367658,572397,0.0
1652685935.543386,582651,0.0
1652686155.5169296,592671,0.0
1652686393.8115437,602807,0.0
1652686656.091574,612865,0.0
1652686889.4702692,622893,0.0
1652687174.1254275,632898,0.0
1652687472.4680595,643248,0.0
1652687701.7266855,653284,0.0
1652687938.1314096,663316,0.0
1652688190.1771598,673609,0.0
1652688397.0443983,683628,0.0
1652688639.7622497,693635,0.0
1652688893.5541427,703654,0.0
1652689111.373277,713836,0.0
1652689372.7500641,723982,0.0
1652689656.4641714,733992,0.0
1652689874.0786529,744118,0.0
1652690090.5433943,754337,0.0
1652690327.5154514,764689,0.0
1652690543.98245,774730,0.0
1652690735.7806325,784753,0.0
1652690934.2035627,795063,0.0
1652691125.8910499,805224,0.0
1652691291.2718573,815477,0.0
1652691467.0051587,825482,0.0
1652691651.4147644,835752,0.0
1652691851.734022,845821,0.0
1652692025.63124,856070,0.0
1652692203.1810904,866138,0.0
1652692361.1788716,876198,0.0
1652692540.629451,886580,0.0
1652692718.5051138,896965,0.0
1652692906.5933585,907315,0.0
1652693094.2412205,917401,0.0
1652693301.2416196,927422,0.0
1652693468.421316,937779,0.0
1652693672.6317942,947812,0.0
1652693890.5828779,957842,0.0
1652694141.0341558,967941,0.0
1652694367.8540957,977950,0.0
1652694600.9233906,987958,0.0
1652694837.665465,998348,0.0
