Wall time,Step,Value
1655687230.9748812,27,0.0
1655687402.9404373,10028,0.0
1655687586.4227726,20033,0.0
1655687774.636133,30033,0.0
1655687939.032119,40033,0.0
1655688096.8912492,50128,0.0
1655688233.6917276,60157,0.0
1655688367.9605174,70177,0.0
1655688495.7757716,80203,0.0
1655688615.7639818,90204,0.0
1655688740.6286001,100317,0.0
1655688871.1080816,110465,0.0
1655688990.2990398,120610,0.0
1655689110.1215496,130734,0.0
1655689227.002649,140759,0.0
1655689349.4556139,150890,0.0
1655689478.774275,161031,0.0
1655689605.6239321,171049,0.0
1655689725.6846447,181117,0.0
1655689844.7351322,191139,0.0
1655689978.9042919,201187,0.0
1655690103.9481847,211324,0.0
1655690225.5777879,221331,0.0
1655690357.0365489,231374,0.0
1655690482.275845,241434,0.0
1655690619.555279,251552,0.0
1655690745.809001,261687,0.0
1655690869.346169,271818,0.0
1655691003.235978,281906,0.0
1655691138.8641639,291917,0.03125
1655691290.6404054,301950,0.0
1655691431.4383395,311952,0.0
1655691570.6629143,322087,0.0
1655691708.474335,332214,0.0
1655691844.3955061,342263,0.0
1655691979.7665772,352289,0.0
1655692123.5847373,362349,0.0
1655692252.3829365,372380,0.0
1655692397.7216947,382381,0.0
1655692552.3087096,392447,0.0
1655692705.984599,402519,0.0
1655692858.904596,412534,0.0
1655692999.4278927,422560,0.0
1655693141.1989827,432587,0.03125
1655693271.6849275,442603,0.0
1655693402.7574198,452611,0.0
1655693534.0592048,462619,0.03125
1655693652.8744922,472620,0.0
1655693781.1405244,482691,0.0
1655693909.2210095,492700,0.0
1655694030.804931,502713,0.0
1655694169.7317865,512751,0.0625
1655694308.930566,522772,0.03125
1655694446.1560414,532805,0.0
1655694572.6295118,542887,0.125
1655694697.5414927,552934,0.03125
1655694836.470308,563077,0.0
1655694964.7949471,573203,0.0
1655695101.0051954,583207,0.0
1655695240.74784,593319,0.0625
1655695391.0032592,603327,0.03125
1655695541.88219,613441,0.0
1655695684.118204,623545,0.0
1655695823.845606,633557,0.0
1655695979.1945071,643578,0.0
1655696143.7856243,653727,0.15625
1655696312.2634907,663846,0.0
1655696491.245555,673863,0.1875
1655696664.9531963,683869,0.0
1655696814.2901402,693869,0.0625
1655696996.6429017,703876,0.0625
1655697189.479691,713902,0.21875
1655697374.7350316,723999,0.21875
1655697557.548338,734041,0.09375
1655697751.5198123,744069,0.03125
1655697913.1702292,754206,0.03125
1655698085.2526674,764273,0.25
1655698261.3993118,774273,0.4375
1655698426.1277978,784320,0.09375
1655698592.67987,794442,0.40625
1655698733.3446991,804472,0.375
1655698890.4193306,814493,0.25
1655699039.3306057,824598,0.1875
1655699188.0122902,834712,0.28125
1655699348.516037,844818,0.21875
1655699507.012973,854835,0.28125
1655699664.8001728,864913,0.25
1655699826.0429654,875039,0.53125
1655699974.852586,885133,0.5625
1655700128.78595,895164,0.40625
1655700276.5055327,905215,0.46875
1655700432.0943525,915343,0.28125
1655700594.1410694,925363,0.625
1655700750.4698088,935512,0.46875
1655700903.2949052,945520,0.3125
1655701080.6097074,955599,0.34375
1655701238.293161,965607,0.3125
1655701398.5149517,975705,0.3125
1655701568.0057797,985728,0.375
1655701721.291725,995746,0.5625
