Wall time,Step,Value
1655730008.4630125,49,0.0
1655730213.1530504,10068,0.0
1655730424.2312143,20108,0.0
1655730638.5443041,30108,0.0
1655730833.4119668,40113,0.0
1655731025.146167,50147,0.0625
1655731202.5926623,60166,0.0
1655731391.0577216,70199,0.1875
1655731581.209116,80277,0.53125
1655731781.6644814,90317,0.8125
1655731985.4482305,100331,0.71875
1655732138.584148,110332,0.5
1655732286.539036,120377,0.5625
1655732453.4624884,130398,0.3125
1655732627.9987316,140425,0.34375
1655732806.627841,150510,0.59375
1655733011.9571,160531,0.6875
1655733194.5075567,170564,0.875
1655733406.1587236,180571,0.78125
1655733609.912789,190596,0.71875
1655733818.3593843,200655,0.8125
1655734021.8301442,210707,0.78125
1655734229.368608,220723,0.78125
1655734435.5201256,230762,0.71875
1655734653.274323,240784,0.875
1655734858.468869,250838,0.875
1655735068.5541735,260847,0.8125
1655735301.915029,270865,0.84375
1655735519.5970032,280869,0.875
1655735743.0347092,290912,0.6875
1655735973.9205935,300921,0.90625
1655736201.5525436,310947,0.9375
1655736424.3302991,320991,0.875
1655736592.240319,331038,0.90625
1655736756.2708817,341092,0.875
1655736919.1550586,351092,0.84375
1655737080.9812167,361124,0.78125
1655737246.873672,371146,0.8125
1655737462.2812026,381155,0.4375
1655737688.1291633,391203,0.875
1655737908.6053078,401211,0.875
1655738128.871163,411233,0.625
1655738343.87231,421283,0.9375
1655738574.5117831,431310,0.65625
1655738783.8677955,441315,0.84375
1655738995.9657464,451353,0.6875
1655739210.6426344,461361,0.875
1655739425.1264458,471406,0.9375
1655739627.4035678,481437,0.875
1655739843.6469886,491463,0.6875
1655740036.5360143,501484,0.8125
1655740248.4645777,511544,1.0
1655740466.044812,521576,0.90625
1655740677.5898607,531627,0.96875
1655740891.2460427,541650,1.0
1655741104.9954803,551674,0.9375
1655741315.694059,561714,0.84375
1655741524.9412627,571725,1.0
1655741739.291403,581783,0.9375
1655741956.7688518,591829,0.9375
1655742155.5644772,601859,0.8125
1655742353.9638853,611864,0.9375
1655742568.8003783,621899,0.96875
1655742772.5714848,631967,0.9375
1655742988.3471417,641976,0.9375
1655743240.301073,651981,0.96875
1655743485.7135866,661998,0.6875
1655743720.5844526,672015,1.0
1655743969.1450682,682015,0.96875
1655744220.3354187,692060,0.96875
1655744445.5045485,702074,0.84375
1655744666.150258,712112,0.96875
1655744903.7705364,722167,1.0
1655745154.2399418,732194,0.9375
1655745399.4730618,742231,0.96875
1655745614.7096965,752254,0.9375
1655745842.0947247,762304,1.0
1655746070.0520942,772342,1.0
1655746299.17903,782395,0.96875
1655746532.850987,792435,1.0
1655746771.6205702,802517,0.9375
1655747028.3474574,812517,0.96875
1655747271.2679853,822544,0.9375
1655747509.9961555,832600,1.0
1655747745.6057553,842665,0.96875
1655747981.47713,852698,0.9375
1655748216.454897,862703,0.96875
1655748431.0875173,872719,0.84375
1655748650.357144,882733,0.90625
1655748873.822716,892780,0.96875
1655749088.9248767,902795,0.78125
1655749303.3160882,912876,0.8125
1655749511.4466512,922991,0.96875
1655749731.7916563,933052,0.84375
1655749955.6657205,943071,0.9375
1655750183.7459164,953085,0.875
1655750419.7012243,963205,0.875
1655750643.914534,973212,0.9375
1655750873.7022524,983230,0.9375
1655751102.9465103,993327,0.875
