Wall time,Step,Value
1655712105.4172068,227,0.0
1655712243.2869208,10270,0.0
1655712395.9700036,20324,0.0
1655712525.1656895,30416,0.0
1655712622.373262,40525,0.0
1655712733.4516697,50779,0.0
1655712917.2646396,60821,0.0
1655713119.1305954,70833,0.0
1655713334.746888,80846,0.09375
1655713570.9628444,90863,0.0
1655713816.4990096,100863,0.78125
1655714021.1419609,110896,0.34375
1655714214.3908179,120900,0.125
1655714408.9573376,130914,0.625
1655714596.4826224,140918,0.09375
1655714782.6905222,150934,0.0625
1655714971.1323395,160954,0.1875
1655715152.257592,170979,0.1875
1655715335.4333224,180994,0.1875
1655715513.1085072,191009,0.5
1655715689.8411548,201030,0.6875
1655715862.1175492,211041,0.25
1655716043.980516,221077,0.6875
1655716216.4921293,231118,0.75
1655716399.666003,241132,0.6875
1655716599.51713,251169,0.84375
1655716797.8978682,261188,0.78125
1655716972.8890712,271221,0.96875
1655717106.1031954,281230,0.90625
1655717240.1032078,291254,0.5625
1655717366.7658334,301287,0.9375
1655717492.9262052,311289,0.9375
1655717625.0585716,321324,0.9375
1655717762.439685,331336,0.8125
1655717861.0585217,341336,0.96875
1655717964.2053695,351365,0.8125
1655718061.7192905,361400,0.71875
1655718159.280661,371400,0.78125
1655718258.5999565,381505,0.59375
1655718371.1714916,391545,0.84375
1655718497.543994,401567,0.53125
1655718623.1031508,411575,0.84375
1655718755.9584892,421577,0.8125
1655718888.7712083,431600,0.875
1655719020.0831854,441619,1.0
1655719147.565827,451662,0.96875
1655719279.631129,461670,0.96875
1655719412.890987,471676,0.9375
1655719543.4763482,481702,0.96875
1655719678.1842823,491712,0.78125
1655719816.71182,501722,0.84375
1655719947.8440402,511761,0.90625
1655720085.989679,521775,0.96875
1655720218.8071063,531801,1.0
1655720349.6852155,541814,0.5
1655720480.6938014,551825,0.71875
1655720608.9210637,561869,0.90625
1655720713.7754765,571910,0.90625
1655720821.2736351,581915,1.0
1655720937.4328735,591932,0.9375
1655721062.5719068,601974,0.875
1655721191.6860332,612006,0.9375
1655721323.7519882,622011,0.8125
1655721451.3451877,632013,0.9375
1655721578.0731432,642032,0.9375
1655721694.3752697,652036,1.0
1655721782.5340853,662047,0.9375
1655721871.099502,672062,0.90625
1655721966.3832572,682077,0.8125
1655722054.1074357,692098,0.9375
1655722140.7412863,702129,0.9375
1655722228.126741,712167,1.0
1655722316.7551644,722197,0.78125
1655722409.992285,732229,0.96875
1655722497.0518396,742266,1.0
1655722583.5708668,752282,1.0
1655722670.1664145,762297,0.96875
1655722759.1137693,772332,1.0
1655722847.1860363,782349,1.0
1655722942.6484308,792381,0.96875
1655723029.6443298,802419,1.0
1655723116.329338,812440,1.0
1655723207.453468,822469,1.0
1655723296.815281,832470,1.0
1655723385.5244892,842505,1.0
1655723480.125088,852538,1.0
1655723567.7208571,862568,1.0
1655723658.710552,872584,1.0
1655723746.2630742,882600,1.0
1655723835.5435085,892617,1.0
1655723923.2324784,902619,1.0
1655724017.0002174,912646,1.0
1655724106.5520835,922672,0.96875
1655724197.1539233,932712,1.0
1655724285.8409274,942724,1.0
1655724374.1159375,952756,1.0
1655724469.2631445,962762,1.0
1655724557.2706375,972768,1.0
1655724644.6077275,982774,1.0
1655724733.4243367,992778,1.0
