Wall time,Step,Value
1655604360.999907,64,0.0
1655604551.077056,10087,0.0
1655604748.0071132,20134,0.0
1655604945.7335393,30148,0.0
1655605131.9851632,40180,0.0
1655605331.087447,50182,0.0
1655605523.609088,60229,0.0
1655605723.7863026,70264,0.0
1655605911.881846,80271,0.0
1655606109.2157066,90320,0.03125
1655606318.0800416,100354,0.125
1655606516.2523499,110360,0.0
1655606706.6811934,120380,0.0
1655606912.590681,130380,0.0
1655607133.1874862,140489,0.0
1655607338.685211,150504,0.0
1655607556.3581805,160532,0.09375
1655607765.4268215,170548,0.15625
1655607973.8721793,180549,0.0
1655608186.370726,190570,0.0
1655608402.5542157,200620,0.0
1655608625.8883758,210625,0.03125
1655608850.0993705,220656,0.0
1655609058.9041615,230666,0.0
1655609267.6158915,240675,0.0
1655609482.3238575,250719,0.03125
1655609694.2926736,260740,0.0625
1655609908.219632,270742,0.0
1655610125.5403037,280773,0.125
1655610337.6026275,290817,0.09375
1655610555.1576498,300833,0.03125
1655610754.0959618,310878,0.0625
1655610966.7929595,320927,0.0
1655611187.2045984,330987,0.25
1655611394.5447993,340991,0.09375
1655611600.05319,351043,0.03125
1655611808.885175,361101,0.1875
1655612018.2591174,371111,0.375
1655612231.3511407,381119,0.28125
1655612434.822073,391175,0.15625
1655612631.379735,401189,0.125
1655612839.8781753,411261,0.21875
1655613037.7406042,421289,0.1875
1655613231.3681347,431328,0.375
1655613431.8694732,441381,0.21875
1655613640.0707133,451398,0.4375
1655613845.2863085,461453,0.0
1655614038.5750391,471457,0.03125
1655614249.2764158,481502,0.71875
1655614471.7190752,491528,0.21875
1655614672.9524708,501529,0.875
1655614872.5643559,511559,0.34375
1655615066.2116506,521579,0.21875
1655615259.8962538,531626,0.71875
1655615462.0133927,541631,0.28125
1655615679.8559103,551669,0.625
1655615882.5234993,561671,0.34375
1655616081.1218705,571704,0.125
1655616291.0305412,581711,0.4375
1655616490.6815107,591714,0.53125
1655616694.9114063,601779,0.71875
1655616886.2565157,611819,0.59375
1655617068.2357283,621840,0.53125
1655617257.5890992,631904,0.75
1655617450.2652407,641957,0.6875
1655617668.586572,651958,0.625
1655617874.0983076,661982,0.46875
1655618079.828143,672034,0.625
1655618289.1918676,682104,0.625
1655618502.5309308,692107,0.8125
1655618710.0302002,702142,0.625
1655618922.932681,712196,0.75
1655619122.5898283,722206,0.8125
1655619328.9134097,732253,0.6875
1655619533.8319418,742279,0.875
1655619743.6620746,752309,0.84375
1655619960.736804,762363,0.78125
1655620163.5159292,772400,0.71875
1655620370.8120053,782411,0.875
1655620577.4435592,792474,0.6875
1655620783.8804698,802497,0.84375
1655620989.9406328,812511,0.9375
1655621210.6298194,822540,0.75
1655621413.8577094,832571,0.9375
1655621611.943828,842598,0.84375
1655621774.4966052,852635,0.875
1655621966.0736973,862644,0.875
1655622165.0581274,872688,0.875
1655622364.284833,882710,0.84375
1655622567.7211528,892752,0.75
1655622771.392741,902784,0.46875
1655622976.0738254,912823,0.625
1655623182.2893262,922864,0.90625
1655623379.8865416,932910,0.875
1655623577.4135537,942927,0.53125
1655623769.15727,952937,0.71875
1655623970.8259656,962984,0.59375
1655624165.9718335,973019,0.84375
1655624376.5353403,983079,0.8125
1655624570.5049539,993086,0.8125
