Wall time,Step,Value
1655255075.8347378,35,0.0
1655255542.2878332,10065,0.0
1655256009.1710901,20067,0.0
1655256474.3445425,30069,0.0
1655256932.1429124,40073,0.0
1655257388.0348468,50092,0.0
1655257850.4654121,60110,0.0
1655258298.997911,70118,0.0
1655258749.8259706,80118,0.0
1655259197.4572098,90147,0.0
1655259642.523779,100163,0.0
1655260097.2890794,110188,0.0
1655260561.3078723,120217,0.0
1655261007.6584675,130222,0.0
1655261468.1022613,140237,0.0
1655261930.0810297,150248,0.0
1655262387.5604312,160252,0.0
1655262824.2265265,170265,0.0
1655263292.6674998,180269,0.0
1655263742.4922552,190320,0.03125
1655264121.8542454,200498,0.0
1655264543.47534,210503,0.0
1655264950.4213936,220535,0.0
1655265317.5837364,230557,0.0
1655265667.810674,240566,0.0
1655266064.1356585,250758,0.0
1655266414.7809632,260764,0.03125
1655266740.6359487,270816,0.0625
1655267106.869143,280866,0.0625
1655267433.9264166,291021,0.0625
1655267792.2693799,301022,0.03125
1655268164.6734776,311347,0.09375
1655268534.5600958,321577,0.03125
1655268862.6168065,331603,0.125
1655269145.6020522,341603,0.03125
1655269512.2015123,351828,0.15625
1655269839.5405257,361830,0.15625
1655270187.1560175,372171,0.125
1655270491.703495,382361,0.15625
1655270812.2401776,392366,0.25
1655271149.6115897,402369,0.28125
1655271460.8381329,412390,0.3125
1655271813.6162233,422403,0.09375
1655272198.6308513,432546,0.28125
1655272546.1088903,442805,0.21875
1655272872.9364293,453040,0.21875
1655273205.0985491,463064,0.125
1655273532.5013924,473083,0.21875
1655273909.9516664,483215,0.3125
1655274247.7076366,493243,0.0
1655274653.405182,503257,0.5625
1655275013.2906384,513291,0.15625
1655275388.3628542,523323,0.5625
1655275793.3824105,533515,0.15625
1655276167.9929922,543668,0.34375
1655276529.6305954,553799,0.1875
1655276934.193091,564038,0.28125
1655277335.2470138,574077,0.28125
1655277736.4433954,584078,0.3125
1655278139.0110364,594106,0.65625
1655278521.2706244,604151,0.5625
1655278951.4666836,614187,0.625
1655279360.5933096,624282,0.4375
1655279773.0666413,634292,0.78125
1655280161.3060317,644308,0.875
1655280563.1172075,654345,0.8125
1655280941.588305,664390,0.78125
1655281378.085581,674422,0.90625
1655281772.7635334,684528,0.84375
1655282165.5837739,694757,0.65625
1655282574.3352816,704878,0.90625
1655283063.1364896,714917,0.34375
1655283440.391283,725224,0.75
1655283830.7261665,735293,0.78125
1655284232.2649739,745303,0.96875
1655284670.329092,755365,0.90625
1655285097.8096025,765405,0.59375
1655285552.134578,775667,0.625
1655285937.1038957,785787,0.90625
1655286377.0008442,795832,0.9375
1655286811.2833402,805841,0.71875
1655287263.4311426,815862,0.8125
1655287723.4610455,826038,0.65625
1655288171.791119,836094,0.8125
1655288549.442058,846126,0.90625
1655288977.7834175,856254,0.96875
1655289396.1854293,866262,0.96875
1655289770.050506,876286,1.0
1655290236.3302252,886313,0.90625
1655290674.388509,896341,0.625
1655291141.2971656,906358,0.5
1655291584.7007828,916417,1.0
1655292070.107378,926426,0.96875
1655292569.7209263,936480,0.8125
1655293082.7825387,946631,0.875
1655293587.3189404,956665,0.8125
1655294061.5697775,966680,0.75
1655294575.9170432,976686,0.59375
1655295097.348517,986744,0.8125
1655295581.6712582,997032,0.78125
1655296070.9966178,1007056,0.625
1655296528.0704541,1017094,0.8125
1655296947.0732872,1027112,1.0
1655297367.8326924,1037143,1.0
1655297794.502472,1047155,0.96875
1655298221.1505005,1057194,0.90625
1655298688.1113143,1067213,0.59375
1655299104.863367,1077218,0.875
1655299524.5268157,1087224,0.875
1655299951.5027015,1097245,0.875
1655300333.6555393,1107588,0.90625
1655300682.2242107,1117668,0.78125
1655301060.8745854,1127906,0.90625
1655301449.0408587,1137946,0.9375
1655301871.7653158,1147969,0.90625
1655302295.3317685,1158014,0.8125
1655302701.8840218,1168044,0.875
1655303070.61727,1178103,0.96875
1655303470.9852772,1188379,1.0
1655303875.1107328,1198419,0.90625
1655304251.971451,1208531,0.9375
1655304646.6209338,1218585,0.96875
1655305033.6064494,1228612,0.84375
1655305438.1021087,1238621,0.9375
1655305825.1358056,1248868,0.9375
1655306200.9337733,1258881,0.90625
1655306569.3002248,1268883,0.96875
1655306940.0603259,1278884,0.875
1655307319.624521,1288918,0.90625
1655307692.8043838,1298979,0.9375
1655308105.484486,1309019,1.0
1655308538.5318816,1319034,0.9375
1655308928.4839966,1329310,0.78125
1655309315.4446464,1339347,0.8125
1655309744.7270708,1349358,0.96875
1655310150.7681322,1359391,0.96875
1655310591.8490431,1369771,0.84375
1655311020.1293886,1379806,0.9375
1655311425.8785248,1389833,0.90625
1655311843.3166406,1399848,0.9375
1655312230.2117655,1409851,1.0
1655312657.26782,1419877,0.96875
1655313093.205237,1429887,1.0
1655313504.4031508,1439921,0.96875
1655313904.3968518,1449930,0.9375
1655314277.0050237,1460057,0.96875
1655314676.9082212,1470122,0.90625
1655315078.6976068,1480209,0.90625
1655315465.385245,1490272,0.78125
