Wall time,Step,Value
1655428755.9737833,36,0.0
1655428958.2634437,10052,0.0
1655429175.1636496,20071,0.0
1655429389.800217,30097,0.0
1655429605.7023168,40108,0.0
1655429791.1838396,50115,0.0
1655430003.5459461,60126,0.0
1655430221.0291216,70137,0.0
1655430445.166752,80165,0.0
1655430660.031956,90187,0.0
1655430865.746056,100207,0.0
1655431073.3404276,110232,0.0
1655431271.5748327,120268,0.0
1655431466.4081676,130340,0.0
1655431662.8529658,140375,0.0
1655431851.6187794,150407,0.0
1655432042.7752771,160417,0.0
1655432226.6569297,170604,0.0
1655432423.7647393,180630,0.0
1655432629.1806655,190670,0.0
1655432829.1792824,200714,0.0
1655433035.952587,210727,0.0
1655433240.3869038,220771,0.0
1655433416.6619186,230775,0.0
1655433611.021508,240817,0.0
1655433795.4882238,250949,0.0
1655433983.7601762,261072,0.0
1655434176.4217494,271099,0.0
1655434366.7511625,281188,0.0
1655434569.975144,291377,0.0
1655434752.35748,301500,0.0
1655434960.7479925,311680,0.0
1655435168.870452,321830,0.03125
1655435366.661923,331858,0.0625
1655435558.4751918,341922,0.0
1655435759.631889,351926,0.0625
1655435961.0013263,361944,0.0
1655436117.9075146,372002,0.0
1655436317.5103424,382017,0.1875
1655436509.7478707,392117,0.0
1655436716.9204628,402228,0.0
1655436911.3276057,412249,0.09375
1655437096.9206166,422394,0.125
1655437295.7381785,432411,0.15625
1655437477.390464,442546,0.03125
1655437671.7947755,452585,0.0625
1655437880.5871358,462821,0.25
1655438085.6061432,472953,0.09375
1655438277.5289686,483041,0.21875
1655438471.985467,493078,0.21875
1655438675.768347,503197,0.15625
1655438869.964711,513282,0.0625
1655439070.4081683,523284,0.5
1655439258.773272,533469,0.21875
1655439444.773697,543561,0.3125
1655439643.7732828,553588,0.25
1655439829.2679489,563741,0.09375
1655440013.7948596,573793,0.65625
1655440213.6846375,583803,0.25
1655440388.5835893,593869,0.28125
1655440583.1410432,603937,0.34375
1655440778.3028104,614030,0.25
1655440954.6245956,624114,0.4375
1655441153.0724437,634272,0.5625
1655441355.7243466,644418,0.15625
1655441549.985292,654586,0.1875
1655441749.7958279,664684,0.34375
1655441942.6608777,674724,0.21875
1655442134.7917337,684747,0.15625
1655442334.890464,694751,0.3125
1655442532.9127567,704927,0.5625
1655442722.5848162,714929,0.5
1655442880.3541863,725052,0.59375
1655443072.8453798,735174,0.625
1655443265.0197637,745255,0.65625
1655443458.1485658,755343,0.375
1655443646.459103,765350,0.375
1655443844.9127192,775431,0.375
1655444034.1519032,785606,0.65625
1655444232.1230605,795665,0.40625
1655444415.7571797,805716,0.625
1655444613.5522132,815908,0.71875
1655444805.3368497,825931,0.625
1655444987.2945797,836081,0.5
1655445183.8694506,846087,0.75
1655445383.5426595,856213,0.5625
1655445570.188613,866224,0.59375
1655445759.6856322,876346,0.5625
1655445961.0651922,886352,0.5625
1655446154.0412724,896456,0.5625
1655446346.2786937,906488,0.625
1655446537.33136,916609,0.84375
1655446736.8689969,926651,0.5625
1655446916.4762943,936733,0.53125
1655447111.7640493,946971,0.65625
1655447301.4353735,957060,0.75
1655447499.888057,967146,0.78125
1655447694.3476558,977211,0.65625
1655447886.753458,987227,0.78125
1655448082.9649744,997362,0.65625
1655448278.3537393,1007378,0.625
1655448465.4527497,1017506,0.4375
1655448650.4426088,1027570,0.59375
1655448836.7367425,1037663,0.625
1655449030.5370145,1047759,0.71875
1655449226.637502,1057817,0.875
1655449395.3254793,1067902,0.71875
1655449548.247069,1077950,0.6875
1655449695.8520737,1088033,0.6875
1655449872.0239558,1098090,0.71875
1655450076.7713993,1108301,0.5625
1655450280.9981873,1118358,0.53125
1655450457.9592264,1128476,0.75
1655450631.38498,1138537,0.59375
1655450820.6508038,1148711,0.375
1655450973.511604,1158844,0.8125
1655451154.9247217,1168893,0.6875
1655451352.8290656,1179021,0.53125
1655451525.740052,1189094,0.5
1655451681.2624648,1199251,0.90625
1655451872.1698391,1209259,0.90625
1655452062.7705457,1219289,0.875
1655452258.673913,1229353,0.5
1655452438.2268946,1239525,0.84375
