Wall time,Step,Value
1655519777.9967983,29,0.0
1655519888.1238475,10031,0.0
1655520001.3759565,20031,0.0
1655520117.0233905,30041,0.0
1655520229.5287979,40055,0.0
1655520336.282072,50062,0.0
1655520452.5776167,60066,0.0
1655520559.9300911,70083,0.0
1655520666.974522,80094,0.0
1655520768.2577415,90106,0.0
1655520870.5717998,100108,0.0
1655520969.3922772,110125,0.0
1655521068.705439,120145,0.0
1655521174.1894143,130159,0.0
1655521274.7784443,140178,0.0
1655521372.7776003,150192,0.0
1655521472.6985295,160209,0.0
1655521577.6727376,170218,0.0
1655521679.4670796,180219,0.0
1655521791.5543208,190229,0.0
1655521897.0818186,200235,0.0
1655522001.6140997,210235,0.03125
1655522104.0133843,220245,0.03125
1655522210.1225817,230263,0.09375
1655522314.8685908,240270,0.0
1655522427.1746058,250295,0.0
1655522529.18942,260312,0.03125
1655522629.8266916,270320,0.0625
1655522730.9003744,280323,0.0
1655522835.3610208,290336,0.09375
1655522939.224061,300345,0.03125
1655523049.836993,310369,0.03125
1655523151.6532383,320384,0.0
1655523251.659372,330384,0.03125
1655523351.4339435,340398,0.15625
1655523455.5452557,350405,0.03125
1655523558.3092902,360429,0.125
1655523673.5927284,370446,0.21875
1655523778.3726165,380465,0.15625
1655523885.6655588,390483,0.21875
1655523994.0392518,400505,0.125
1655524100.9819162,410516,0.125
1655524206.1946907,420528,0.09375
1655524320.35947,430539,0.15625
1655524426.4223359,440552,0.1875
1655524532.4024255,450572,0.125
1655524639.5152695,460574,0.28125
1655524745.9399927,470597,0.0625
1655524849.776958,480619,0.25
1655524961.7544959,490630,0.25
1655525064.46395,500640,0.1875
1655525170.481918,510651,0.25
1655525276.3006165,520656,0.40625
1655525378.9025156,530669,0.21875
1655525482.9689658,540689,0.1875
1655525594.5801728,550701,0.1875
1655525697.1232936,560719,0.375
1655525801.517562,570727,0.3125
1655525905.8939445,580738,0.21875
1655526009.791891,590742,0.1875
1655526116.5917432,600764,0.21875
1655526228.1309373,610774,0.34375
1655526334.1474335,620777,0.3125
1655526442.0816545,630789,0.40625
1655526546.5588562,640807,0.34375
1655526652.3987467,650814,0.46875
1655526760.4154897,660833,0.34375
1655526875.0127032,670854,0.5625
1655526983.3523836,680870,0.59375
1655527090.6628623,690888,0.3125
1655527200.0306497,700910,0.3125
1655527309.511034,710921,0.375
1655527417.1043499,720927,0.46875
1655527536.4362626,730936,0.4375
1655527643.5984573,740943,0.40625
1655527753.6722531,750955,0.46875
1655527865.2365248,760958,0.4375
1655527973.8568954,770972,0.40625
1655528079.8751185,780979,0.5
1655528197.2588322,790999,0.3125
1655528305.862448,801002,0.5625
1655528413.9800477,811015,0.53125
1655528521.7738998,821040,0.5625
1655528628.7149067,831065,0.5
1655528746.484041,841072,0.5625
1655528853.4719763,851077,0.5
1655528960.7664492,861096,0.4375
1655529067.5279622,871104,0.5
1655529173.3434064,881113,0.46875
1655529279.3136232,891132,0.4375
1655529396.4515114,901157,0.59375
1655529500.5657756,911174,0.59375
1655529604.918409,921180,0.3125
1655529710.4690526,931201,0.59375
1655529813.8269649,941209,0.5
1655529918.3562796,951218,0.65625
1655530031.709063,961229,0.46875
1655530135.704619,971242,0.4375
1655530239.9129374,981255,0.375
1655530342.2931004,991268,0.65625
1655530444.7630825,1001276,0.625
1655530548.2354248,1011285,0.59375
1655530658.9854717,1021310,0.75
1655530762.7273786,1031329,0.625
1655530869.3148918,1041334,0.6875
1655530972.1771066,1051348,0.53125
1655531076.706326,1061349,0.78125
1655531180.554844,1071360,0.71875
1655531296.0536647,1081377,0.65625
1655531401.2391524,1091381,0.65625
1655531504.8723214,1101389,0.6875
1655531607.282344,1111391,0.5625
1655531714.5971386,1121415,0.625
1655531821.7870078,1131432,0.8125
1655531936.4492223,1141440,0.65625
1655532042.809714,1151450,0.6875
1655532150.057786,1161462,0.5625
1655532258.1752849,1171488,0.6875
1655532363.2358575,1181498,0.53125
1655532473.6277921,1191507,0.75
1655532589.4510791,1201516,0.71875
1655532696.1821024,1211520,0.59375
1655532803.6349692,1221534,0.59375
1655532912.1612751,1231544,0.6875
1655533017.8288949,1241558,0.59375
1655533121.820083,1251571,0.5
1655533235.1689868,1261583,0.625
1655533335.2086983,1271592,0.625
1655533439.154092,1281599,0.6875
1655533540.6443958,1291611,0.78125
1655533642.5177083,1301611,0.71875
1655533744.1357975,1311616,0.625
1655533856.8311636,1321638,0.6875
1655533962.0037675,1331647,0.5
1655534062.8099446,1341656,0.8125
1655534163.8683195,1351659,0.75
1655534267.0909832,1361666,0.625
1655534373.9622881,1371672,0.5625
1655534484.8358169,1381673,0.59375
1655534587.1642025,1391677,0.59375
1655534693.0629933,1401686,0.65625
1655534794.6698573,1411703,0.8125
1655534900.5093553,1421717,0.71875
1655535004.906851,1431728,0.75
1655535115.5072157,1441738,0.59375
1655535219.3511612,1451753,0.59375
1655535322.0641165,1461773,0.625
1655535424.077648,1471795,0.5625
1655535528.6179771,1481810,0.8125
1655535630.354491,1491816,0.59375
