Wall time,Step,Value
1655538224.9527464,20,0.0
1655538595.5735667,10023,0.65625
1655538975.917573,20062,0.40625
1655539306.9865727,30142,0.4375
1655539654.4456174,40157,0.3125
1655539987.792806,50177,0.59375
1655540310.7993183,60178,0.5
1655540661.5349967,70192,0.65625
1655541037.25194,80368,0.6875
1655541410.2882478,90397,0.65625
1655541777.7458265,100397,0.75
1655542143.5799465,110408,0.9375
1655542531.9866593,120426,0.65625
1655542932.9542036,130454,0.875
1655543308.9938521,140468,0.8125
1655543649.1197333,150550,0.75
1655544042.4211404,160558,0.71875
1655544396.5628552,170573,0.46875
1655544727.2198882,180663,0.6875
1655545018.1886945,190685,0.71875
1655545277.6910834,200826,0.875
1655545560.3883016,210827,0.59375
1655545862.9575875,220848,0.6875
1655546112.7701018,230898,0.9375
1655546385.3254297,240948,0.78125
1655546675.2363217,251014,0.8125
1655546957.6965263,261083,0.75
1655547217.812415,271167,0.8125
1655547469.6271203,281167,0.875
1655547727.814731,291322,1.0
1655548017.9503744,301395,0.875
1655548291.0348756,311439,0.84375
1655548563.1877642,321521,0.84375
1655548871.4952288,331661,0.75
1655549152.489405,341673,0.9375
1655549438.4685435,351677,0.9375
1655549717.0873349,361757,0.71875
1655550059.0604136,371761,0.84375
1655550388.0804467,381953,0.78125
1655550715.2240844,392107,0.8125
1655551012.690614,402114,0.8125
1655551349.3244097,412245,0.78125
1655551634.9183085,422249,0.875
1655551951.618012,432262,0.75
1655552287.1969144,442302,0.5625
1655552591.6301808,452322,0.75
1655552914.2288988,462376,0.78125
1655553259.2507992,472491,0.78125
1655553586.821481,482526,0.75
1655553931.7039416,492528,0.8125
1655554206.6837046,502709,0.5625
1655554506.8437014,512775,0.625
1655554807.0713897,522899,0.6875
1655555104.8549664,533034,0.78125
1655555393.7063713,543166,0.875
1655555706.4916694,553283,0.71875
1655556008.27667,563374,0.5
1655556324.767005,573417,0.75
1655556584.1396797,583524,0.21875
1655556872.068792,593590,0.78125
1655557145.2319689,603615,0.90625
