Wall time,Step,Value
1655081325.4429893,37,0.0
1655081692.8466232,10065,0.0
1655082067.6541252,20067,0.0
1655082450.252281,30088,0.0
1655082780.7656014,40231,0.0
1655083064.3422637,50232,0.0
1655083345.566851,60252,0.0
1655083563.734226,70277,0.0
1655083804.7862034,80303,0.0
1655084042.2397544,90403,0.0
1655084273.7115831,100475,0.0
1655084513.216475,110600,0.0
1655084728.6127017,120615,0.0
1655084928.923538,130794,0.0
1655085133.0699587,140822,0.0
1655085330.8680217,150886,0.0
1655085571.3989508,161062,0.0
1655085792.8575234,171156,0.0
1655086012.307207,181187,0.0
1655086223.037725,191213,0.0
1655086427.06352,201226,0.0
1655086673.503599,211336,0.0
1655086885.1587775,221430,0.0
1655087108.1998434,231473,0.0
1655087324.908194,241590,0.0
1655087579.3286285,251697,0.0
1655087814.2254677,261698,0.0
1655088038.8354564,271700,0.0
1655088258.866531,281801,0.0
1655088471.680873,291843,0.0
1655088718.3579457,301863,0.0
1655088926.0567546,311892,0.0
1655089153.423484,322002,0.0
1655089393.2772846,332175,0.0
1655089610.4399767,342222,0.0
1655089855.9109647,352332,0.0
1655090061.5327084,362477,0.0
1655090286.8178105,372504,0.0
1655090510.4850333,382600,0.0
1655090732.5750499,392743,0.0
1655090953.2579732,402787,0.0
1655091168.4141128,412931,0.0
1655091384.6749084,423031,0.0
1655091615.0448816,433052,0.0
1655091842.7720296,443162,0.0
1655092065.8589973,453278,0.0
1655092274.5122912,463294,0.0
1655092507.603731,473341,0.0
1655092748.6453893,483464,0.0
1655092963.3812234,493515,0.0
1655093195.5933485,503689,0.0
1655093427.8993504,513693,0.0
1655093705.0609646,523869,0.0
1655094027.4257295,533902,0.0
1655094377.139425,543938,0.0
1655094690.909313,553951,0.0
1655094981.2500937,564003,0.0
1655095329.1535692,574019,0.0
1655095697.2360375,584046,0.0
1655096063.3432102,594067,0.0
1655096417.2938275,604076,0.0
1655096782.703185,614092,0.0
1655097144.7599022,624267,0.0
1655097491.4260962,634308,0.0
1655097852.518187,644333,0.0
1655098161.3225982,654433,0.0
1655098499.045954,664447,0.0
1655098808.0466785,674612,0.0
1655099131.1666677,684749,0.0
1655099443.5624874,694759,0.0
1655099747.5715954,704786,0.0
1655100030.1173966,714823,0.0
1655100351.6577702,724839,0.0
1655100641.3830469,734901,0.0
1655100968.3318946,744934,0.0
1655101258.9825237,754995,0.0
1655101536.0972586,765112,0.0
1655101813.5809445,775121,0.0
1655102101.2600558,785155,0.0
1655102390.0873587,795168,0.0
1655102650.2885945,805221,0.0
1655102960.7462025,815270,0.0
1655103251.8836222,825342,0.0
1655103554.2514184,835439,0.0
1655103885.9154007,845492,0.0
1655104212.0628655,855549,0.0
1655104526.572966,865575,0.0
1655104853.5783827,875652,0.0
1655105192.6206396,885786,0.0
1655105526.2116928,895850,0.0
1655105879.2377646,905921,0.0
1655106218.3298132,915960,0.0
1655106581.8419743,925976,0.0
1655106909.6857615,935993,0.0
1655107223.4219058,946026,0.0
1655107557.3676498,956066,0.0
1655107878.149599,966107,0.0
1655108205.168649,976286,0.0
1655108557.8207495,986298,0.0
1655108883.8711042,996329,0.0
1655109219.4395628,1006351,0.0
1655109535.750209,1016372,0.0
1655109850.5625336,1026404,0.0
1655110182.013109,1036454,0.0
1655110561.509752,1046564,0.0
1655110957.5209734,1056574,0.0
1655111378.1137724,1066600,0.0
1655111768.0689192,1076608,0.0
1655112147.625485,1086702,0.0
1655112542.4313858,1096723,0.0
1655112919.3754895,1106728,0.0
1655113303.0150049,1116747,0.0
1655113680.5589397,1126774,0.0
1655114049.3064263,1136779,0.0
1655114411.2924654,1146798,0.0
1655114753.0821228,1156857,0.0
1655115079.7831123,1167006,0.0
1655115408.1643531,1177024,0.0
1655115763.3720875,1187078,0.0
1655116103.0649843,1197101,0.0
1655116425.722099,1207107,0.0
1655116792.001912,1217118,0.0
1655117159.743664,1227150,0.0
1655117463.225824,1237176,0.0
1655117770.3312888,1247345,0.0
1655118094.3453872,1257389,0.0
1655118389.7017028,1267557,0.0
1655118679.0511432,1277651,0.0
1655118970.0887985,1287653,0.0
1655119261.7429917,1297756,0.0
1655119526.5799732,1307868,0.0
1655119806.2615051,1317901,0.0
1655120059.7105381,1327998,0.0
1655120324.332146,1338014,0.0
1655120611.0213845,1348047,0.0
1655120891.5114298,1358200,0.0
1655121168.1642592,1368365,0.0
1655121442.4162118,1378440,0.0
1655121735.811714,1388459,0.0
1655122055.1485515,1398556,0.0
1655122398.4496722,1408698,0.0
1655122734.137634,1418739,0.0
1655123067.4225056,1428827,0.0
1655123425.256938,1438856,0.0
1655123727.2476244,1448927,0.0
1655124040.8524508,1458942,0.0
1655124358.608998,1469117,0.0
1655124694.1100578,1479139,0.0
1655124996.6197019,1489235,0.0
1655125296.937672,1499336,0.0
1655125585.5679579,1509428,0.0
1655125874.402456,1519475,0.0
1655126180.0316849,1529543,0.0
1655126468.2490165,1539560,0.0
1655126803.1443906,1549656,0.0
1655127084.7742946,1559817,0.0
1655127355.0571432,1569900,0.0
1655127590.0377676,1580014,0.0
1655127823.4865792,1590108,0.0
1655128055.7502666,1600170,0.0
1655128268.2544067,1610179,0.0
1655128496.8917484,1620337,0.0
1655128712.108634,1630470,0.0
1655128944.517852,1640572,0.0
1655129168.2678428,1650573,0.0
1655129388.8556442,1660748,0.0
1655129599.6364496,1670752,0.0
1655129799.3792822,1680829,0.0
1655130034.4977527,1690902,0.0
1655130249.2625008,1701018,0.0
1655130456.3951318,1711168,0.0
1655130664.5780723,1721279,0.0
1655130885.8862605,1731348,0.0
1655131098.6708982,1741436,0.0
1655131303.5456345,1751608,0.0
1655131512.8668725,1761670,0.0
1655131728.57959,1771674,0.0
1655131946.4230053,1781677,0.0
1655132161.3494382,1791679,0.0
1655132358.92901,1801679,0.0
1655132574.2951357,1811753,0.0
1655132799.3040261,1821854,0.0
1655133005.5375447,1831867,0.0
1655133218.9894896,1842043,0.0
1655133433.384111,1852118,0.0
1655133667.123443,1862185,0.0
1655133903.9932141,1872314,0.0
1655134149.187522,1882466,0.0
1655134409.8961515,1892620,0.0
1655134661.4926128,1902796,0.0
1655134917.800453,1912799,0.0
1655135174.092469,1922922,0.0
1655135418.0511565,1933007,0.0
1655135655.234375,1943141,0.0
1655135904.778296,1953141,0.0
1655136139.7358017,1963158,0.0
1655136357.910263,1973260,0.0
