Wall time,Step,Value
1655343601.6077325,22,0.0
1655343741.0414205,10038,0.0
1655343877.9148023,20042,0.0
1655344013.9460042,30043,0.0
1655344148.4459176,40059,0.0
1655344278.0829554,50059,0.0
1655344415.3562288,60074,0.0
1655344544.6431751,70087,0.0
1655344675.9727938,80095,0.0
1655344811.3539622,90116,0.0
1655344948.4424095,100131,0.0
1655345089.9333274,110142,0.0
1655345239.1316679,120160,0.0
1655345381.9194188,130180,0.0
1655345527.262517,140203,0.0
1655345672.3877175,150204,0.0
1655345818.455788,160208,0.0
1655345962.2034667,170208,0.0
1655346118.1799767,180218,0.0
1655346260.958739,190230,0.0
1655346403.1260781,200238,0.0
1655346549.066734,210260,0.0
1655346690.7714665,220282,0.0
1655346837.1944356,230309,0.0
1655346990.805632,240317,0.0
1655347132.183009,250335,0.0
1655347276.067574,260338,0.0
1655347421.667876,270346,0.0
1655347571.0776432,280371,0.0
1655347720.4400249,290388,0.0
1655347879.757779,300388,0.0
1655348032.787441,310389,0.0
1655348179.3304346,320406,0.0
1655348327.2636425,330420,0.0
1655348469.1902225,340428,0.0
1655348616.8943934,350451,0.0
1655348772.7559373,360463,0.0
1655348921.5818775,370468,0.0
1655349071.2785141,380494,0.0
1655349222.14666,390504,0.0
1655349370.7117412,400522,0.0
1655349516.3353374,410538,0.0
1655349667.1893392,420548,0.0
1655349813.1606736,430549,0.0
1655349957.0260777,440564,0.0
1655350102.3216808,450588,0.0
1655350252.3768303,460615,0.0
1655350402.817319,470640,0.0
1655350565.4825974,480650,0.0
1655350717.758475,490660,0.0
1655350866.3399205,500661,0.0
1655351015.726012,510666,0.0
1655351166.0572045,520692,0.0
1655351321.8872597,530721,0.0
1655351474.3010795,540745,0.0
1655351623.957341,550757,0.0
1655351773.2666924,560779,0.0
1655351923.052321,570811,0.0
1655352077.8189662,580814,0.0
1655352227.7722256,590816,0.0
1655352383.3356366,600833,0.0
1655352530.1000612,610858,0.0
1655352682.6457965,620867,0.0
1655352824.3905237,630897,0.0
1655352971.2282333,640903,0.0
1655353120.262289,650927,0.0
1655353277.298324,660943,0.0
1655353427.0187583,670949,0.0
1655353577.3457248,680952,0.0
1655353724.109762,690965,0.0
1655353872.9202304,700986,0.0
1655354025.1620767,710998,0.0
1655354179.2399335,721028,0.0
1655354328.9578757,731032,0.0
1655354481.5738564,741033,0.0
1655354636.9790769,751059,0.0
1655354791.6881673,761072,0.0
1655354950.523547,771100,0.0
1655355104.2033918,781110,0.0
1655355250.8022747,791116,0.0
1655355405.417683,801129,0.0
1655355564.8898723,811152,0.0
1655355719.0764399,821180,0.0
1655355879.9561868,831190,0.0
1655356048.319981,841205,0.0
1655356205.9400194,851238,0.0
1655356360.8818202,861262,0.0
1655356516.2530053,871280,0.0
1655356674.6265624,881292,0.03125
1655356836.6520407,891317,0.03125
1655356993.346491,901321,0.0
1655357154.8536336,911337,0.0
1655357310.0203645,921360,0.0
1655357466.4846864,931413,0.0
1655357631.2814722,941420,0.0
1655357805.3495073,951441,0.0
1655357962.842802,961455,0.0
1655358142.8121264,971465,0.0
1655358317.0729892,981470,0.0
1655358482.811939,991476,0.0
1655358666.2017052,1001504,0.03125
1655358839.006421,1011522,0.03125
1655359017.28124,1021530,0.0625
1655359179.6483562,1031543,0.03125
1655359348.8533733,1041601,0.0625
1655359523.2930408,1051620,0.0
1655359696.613982,1061628,0.09375
1655359870.6790586,1071648,0.0625
1655360036.8749557,1081670,0.09375
1655360203.838796,1091670,0.0
1655360368.5439847,1101682,0.09375
1655360532.0489178,1111698,0.15625
1655360721.1606274,1121731,0.1875
1655360893.2200072,1131833,0.15625
1655361049.8290987,1141884,0.09375
1655361234.2557309,1151898,0.125
1655361413.432969,1162032,0.1875
1655361609.8160336,1172053,0.1875
1655361792.1863058,1182061,0.28125
1655361982.26029,1192063,0.1875
1655362160.328555,1202083,0.21875
1655362347.508893,1212099,0.125
1655362519.6506255,1222178,0.125
1655362692.1782882,1232209,0.125
1655362862.4734206,1242221,0.15625
1655363041.8788767,1252260,0.15625
1655363219.1961107,1262279,0.15625
1655363398.6684074,1272346,0.21875
1655363582.9212692,1282360,0.375
1655363790.2013927,1292363,0.21875
1655363998.8527958,1302411,0.25
1655364195.9694932,1312430,0.40625
1655364389.4828541,1322534,0.25
1655364586.5009542,1332552,0.125
1655364773.0760458,1342564,0.34375
1655364939.8026307,1352589,0.28125
1655365100.1844976,1362595,0.25
1655365267.0405414,1372631,0.1875
1655365418.9217057,1382724,0.25
1655365573.878794,1392735,0.15625
1655365740.045919,1402778,0.21875
1655365885.578883,1412781,0.1875
1655366032.7953408,1422900,0.21875
1655366192.0237594,1432978,0.3125
1655366339.2498317,1442985,0.15625
1655366479.749475,1452991,0.15625
1655366621.6424375,1463028,0.21875
1655366787.2882643,1473093,0.125
1655366947.414693,1483113,0.28125
1655367089.0575027,1493119,0.125
1655367226.742487,1503214,0.25
1655367368.887197,1513326,0.1875
1655367504.2596996,1523379,0.1875
1655367633.8724253,1533402,0.21875
1655367761.5256753,1543460,0.1875
1655367882.2668774,1553601,0.34375
1655368018.7993622,1563668,0.0625
1655368141.6982422,1573690,0.28125
1655368264.8573918,1583709,0.15625
1655368395.0263073,1593714,0.1875
1655368519.129608,1603818,0.25
1655368655.6183004,1613957,0.375
1655368780.9333012,1624007,0.28125
1655368910.081655,1634016,0.28125
1655369035.7471447,1644040,0.15625
1655369158.9578323,1654114,0.1875
1655369285.4368186,1664126,0.09375
1655369415.3164752,1674230,0.25
1655369540.026304,1684245,0.0625
1655369663.359014,1694344,0.1875
1655369787.5196905,1704445,0.21875
1655369921.817864,1714522,0.28125
1655370064.4628537,1724644,0.1875
1655370191.8985095,1734732,0.09375
1655370317.4630196,1744863,0.09375
1655370441.088725,1754910,0.125
1655370573.6744218,1765039,0.15625
1655370704.662103,1775123,0.25
1655370833.6402664,1785195,0.0625
1655370952.5482156,1795229,0.15625
1655371074.4789095,1805331,0.34375
1655371190.3343709,1815398,0.25
1655371325.3097935,1825495,0.15625
1655371455.2854424,1835579,0.0625
1655371575.4559045,1845623,0.15625
1655371696.1240108,1855723,0.15625
1655371811.463124,1865840,0.25
1655371943.5160477,1875862,0.25
1655372069.706465,1885927,0.21875
1655372197.9761584,1895939,0.03125
1655372317.8646286,1906039,0.09375
1655372436.6293442,1916072,0.28125
1655372563.9221478,1926089,0.09375
1655372688.8854306,1936170,0.15625
1655372813.0552974,1946192,0.03125
1655372946.454656,1956311,0.0625
1655373062.0562363,1966364,0.125
1655373181.66411,1976396,0.0625
1655373295.1345918,1986410,0.125
1655373411.8056862,1996511,0.0625
1655373545.321765,2006621,0.21875
1655373664.8760788,2016664,0.03125
1655373791.5020194,2026687,0.03125
1655373917.6164143,2036755,0.09375
1655374038.246757,2046787,0.03125
1655374154.899797,2056799,0.125
1655374273.1692154,2066917,0.1875
1655374401.9648805,2076948,0.09375
1655374523.697082,2087008,0.09375
1655374640.752807,2097012,0.3125
1655374759.2690077,2107042,0.1875
1655374881.0390706,2117140,0.15625
1655375003.858042,2127280,0.25
1655375131.4508374,2137286,0.21875
1655375249.081922,2147424,0.15625
1655375371.578508,2157555,0.1875
1655375489.738504,2167563,0.21875
1655375615.2578018,2177641,0.09375
1655375724.6949072,2187779,0.125
1655375843.780338,2197869,0.09375
1655375956.7043486,2207880,0.15625
1655376080.9665344,2217899,0.09375
1655376199.9922953,2228009,0.125
1655376318.9217684,2238108,0.1875
1655376438.4923923,2248129,0.0625
1655376557.0869198,2258173,0.125
1655376679.043586,2268265,0.09375
1655376797.878166,2278300,0.03125
1655376913.8478477,2288301,0.0625
1655377040.9604201,2298415,0.125
1655377151.6684852,2308461,0.1875
1655377274.7760367,2318592,0.28125
1655377389.500298,2328593,0.15625
1655377501.424697,2338717,0.15625
1655377619.5739021,2348828,0.125
1655377736.5965395,2358882,0.15625
1655377862.6023607,2368984,0.0
1655377981.0613403,2379071,0.09375
1655378101.8179247,2389115,0.3125
1655378220.5749905,2399134,0.09375
1655378338.1708512,2409174,0.0625
1655378465.1623883,2419280,0.03125
