Wall time,Step,Value
1654741220,38,0
1654741462,10071,0
1654741712,20077,0
1654741977,30083,0
1654742251,40086,0
1654742513,50106,0
1654742772,60124,0
1654743012,70140,0
1654743246,80148,0
1654743455,90166,0
1654743666,100173,0
1654743886,110211,0
1654744145,120246,0
1654744399,130287,0
1654744645,140305,0
1654744882,150327,0
1654745117,160417,0
1654745348,170450,0
1654745595,180478,0
1654745819,190643,0
1654746047,200789,0
1654746291,210822,0
1654746514,220854,0
1654746755,230886,0
1654747002,240932,0
1654747226,250943,0
1654747455,261102,0
1654747675,271125,0
1654747869,281155,0
1654748076,291203,0
1654748260,301233,0
1654748453,311301,0
1654748658,321303,0
1654748835,331338,0
1654749028,341432,0
1654749226,351550,0
1654749428,361614,0
1654749636,371680,0
1654749820,381737,0
1654750044,391781,0
1654750287,401794,0
1654750552,411830,0
1654750815,421854,0
1654751095,431856,0
1654751359,441861,0
1654751624,452022,0
1654751870,462117,0
1654752131,472178,0
1654752365,482211,0
1654752587,492259,0
1654752798,502269,0
1654753010,512349,0
1654753243,522356,0
1654753452,532445,0
1654753683,542600,0
1654753892,552712,0
1654754108,562887,0
1654754346,572922,0
1654754557,583045,0
1654754779,593215,0
1654754999,603252,0
1654755238,613430,0
1654755464,623508,0
1654755652,633587,0
1654755851,643625,0
1654756065,653640,0
1654756262,663673,0
1654756479,673767,0
1654756708,683800,0
1654756927,693974,0
1654757148,703978,0
1654757368,714063,0
1654757594,724084,0
1654757780,734148,0
1654757959,744278,0
1654758146,754333,0
1654758340,764336,0
1654758557,774336,0
1654758779,784391,0
1654759004,794563,0
1654759200,804596,0
1654759401,814737,0
1654759603,824766,0
1654759807,834817,0
1654760012,844918,0
1654760217,854957,0
1654760419,865120,0
1654760623,875183,0
1654760815,885218,0
1654761011,895384,0
1654761197,905543,0
1654761408,915625,0
1654761618,925625,0
1654761816,935638,0
1654762012,945644,0
1654762206,955698,0
1654762406,965714,0.03125
1654762601,975714,0
1654762800,985849,0
1654762991,995997,0
1654763191,1006146,0
1654763374,1016189,0.03125
1654763556,1026218,0
1654763752,1036257,0
1654763943,1046269,0.03125
1654764134,1056325,0
1654764316,1066358,0.0625
1654764502,1076410,0
1654764684,1086451,0.03125
1654764863,1096607,0
1654765055,1106636,0.09375
1654765278,1116715,0
1654765474,1126790,0
1654765675,1136824,0.03125
1654765880,1146918,0.1875
1654766058,1156928,0.125
1654766246,1167086,0.03125
1654766440,1177161,0.03125
1654766624,1187276,0
1654766833,1197382,0.0625
1654767030,1207402,0
1654767238,1217428,0.0625
1654767438,1227513,0.09375
1654767631,1237612,0.03125
1654767840,1247628,0.03125
1654768040,1257776,0.03125
1654768238,1267918,0
1654768437,1277929,0
1654768630,1288096,0
1654768850,1298273,0
1654769052,1308293,0.0625
1654769247,1318393,0.09375
1654769441,1328530,0.125
1654769645,1338567,0.03125
1654769834,1348582,0.125
1654770034,1358696,0.03125
1654770238,1368735,0.125
1654770446,1378813,0.15625
1654770660,1388959,0.0625
1654770858,1398965,0.03125
1654771069,1409130,0.0625
1654771285,1419171,0.03125
1654771499,1429211,0.03125
1654771711,1439297,0.15625
1654771927,1449471,0.09375
1654772134,1459632,0.1875
1654772365,1469648,0
1654772578,1479768,0.15625
1654772803,1489804,0.15625
1654773025,1499888,0.375
1654773233,1509916,0.1875
1654773436,1519929,0.25
1654773637,1530105,0.3125
1654773854,1540130,0.21875
1654774066,1550134,0.25
1654774288,1560235,0.3125
1654774500,1570261,0.71875
1654774718,1580405,0.53125
1654774954,1590568,0.65625
1654775189,1600737,0.34375
1654775414,1610782,0.46875
1654775660,1620847,0.0625
1654775911,1630865,0.15625
1654776151,1641024,0.34375
1654776387,1651039,0.34375
1654776595,1661106,0.6875
1654776824,1671111,0.28125
1654777076,1681134,0.6875
1654777355,1691174,0.625
1654777597,1701230,0.5625
1654777839,1711238,0.53125
1654778081,1721240,0.78125
