Wall time,Step,Value
1650802742.9646528,31,0.0
1650803298.679029,10043,0.0
1650803876.8796268,20075,0.0
1650804442.579299,30109,0.0
1650805008.974683,40137,0.0
1650805582.462956,50152,0.0
1650806145.7426069,60182,0.0
1650806686.0492733,70202,0.0
1650807217.891132,80226,0.0
1650807747.9716527,90245,0.0
1650808278.9413953,100281,0.0
1650808784.2733874,110281,0.0
1650809275.0497844,120314,0.0
1650809722.7579513,130334,0.09375
1650810114.2619889,140453,0.125
1650810546.4023814,150455,0.28125
1650810902.2551155,160487,0.09375
1650811282.8579216,170733,0.15625
1650811830.2894838,180769,0.25
1650812297.7994905,190796,0.25
1650812649.6267421,200910,0.21875
1650813098.3842378,211272,0.21875
1650813626.8204086,221307,0.1875
1650814126.0769296,231368,0.1875
1650814690.6147246,241652,0.40625
1650815257.666703,251683,0.625
1650815765.8694997,261799,0.59375
1650816359.4032187,271842,0.84375
1650816992.3856502,281895,0.53125
1650817575.9046688,291908,0.75
1650818220.788791,301922,0.6875
1650818858.6951456,311936,0.59375
1650819484.4124215,321937,0.53125
1650820108.3360288,331974,0.65625
1650820750.7124712,341988,0.84375
1650821395.0295892,352016,0.90625
1650822020.2382414,362028,0.9375
1650822652.854317,372030,0.96875
1650823317.5178664,382047,0.78125
1650823974.9655108,392059,0.84375
1650824615.059739,402074,0.96875
1650825277.9122956,412101,0.9375
1650825939.9245594,422151,0.96875
1650826609.8510387,432196,1.0
1650827243.854641,442230,0.96875
1650827886.741504,452266,1.0
1650828501.7845278,462310,0.9375
1650829086.4342597,472330,0.96875
1650829622.251167,482349,1.0
1650830153.5247993,492387,1.0
1650830693.2747138,502418,1.0
1650831182.4841237,512450,1.0
1650831668.2959843,522450,1.0
1650832153.8634396,532452,1.0
1650832587.3408134,542473,1.0
1650833025.5681198,552505,0.9375
1650833459.6243627,562556,1.0
1650833886.9904797,572608,0.96875
1650834321.3032851,582610,0.9375
1650834748.5537994,592619,1.0
1650835171.0438983,602643,0.96875
1650835603.2778332,612683,0.96875
1650836025.2944446,622719,0.96875
1650836460.4909244,632739,1.0
1650836868.8205574,642776,0.90625
1650837262.639626,652800,0.96875
1650837672.949559,662839,0.96875
1650838078.1119785,672868,0.9375
1650838477.3625095,682977,0.96875
1650838888.882009,692985,1.0
1650839320.4877098,703023,0.96875
1650839741.8176115,713064,1.0
1650840191.458321,723091,0.96875
1650840622.35089,733133,0.9375
1650841049.5642471,743169,1.0
1650841472.074755,753210,0.96875
1650841892.1757295,763225,1.0
1650842311.0432417,773266,1.0
1650842739.7984247,783304,1.0
1650843145.9669552,793358,0.96875
1650843560.7676635,803391,0.96875
1650844014.105468,813429,1.0
1650844450.6257203,823477,1.0
1650844877.8995967,833499,0.9375
1650845287.9344373,843521,1.0
1650845716.2555058,853567,0.96875
1650846147.04336,863585,0.96875
1650846601.0994303,873629,0.96875
1650847042.9646626,883633,0.96875
1650847497.166765,893637,0.96875
1650847924.3672676,903682,1.0
1650848348.0576253,913715,1.0
1650848794.7449582,923724,0.875
1650849227.8793433,933770,1.0
1650849682.3588662,943791,0.96875
1650850091.454343,953797,1.0
1650850524.6013796,963834,1.0
1650850957.0557482,973887,0.9375
1650851451.8461447,983917,1.0
1650851903.7393236,993957,0.96875
1650852375.6507244,1004004,1.0
1650852848.109135,1014047,0.96875
1650853345.0561726,1024093,0.9375
1650853824.374841,1034110,0.9375
1650854317.96119,1044133,0.96875
1650854791.9608476,1054142,1.0
1650855260.9377034,1064176,0.96875
1650855718.6361222,1074220,1.0
1650856177.9234838,1084241,1.0
1650856652.4850068,1094288,1.0
1650857126.3017936,1104354,1.0
1650857608.3828394,1114378,1.0
1650858069.907664,1124418,1.0
1650858551.5491285,1134447,1.0
1650859032.2780223,1144488,1.0
1650859526.731135,1154499,1.0
1650860034.4908211,1164540,1.0
1650860521.9033422,1174547,1.0
1650861020.5173357,1184569,1.0
1650861498.1928685,1194598,1.0
1650861941.266107,1204641,1.0
1650862416.7826455,1214665,1.0
1650862887.3574142,1224698,1.0
1650863375.489797,1234744,1.0
1650863858.3884177,1244788,1.0
1650864332.3024094,1254825,1.0
1650864830.4654827,1264869,1.0
1650865375.835555,1274895,1.0
1650865933.961024,1284925,1.0
1650866489.3235555,1294978,1.0
1650867039.3541129,1305004,1.0
1650867589.4363875,1315025,1.0
1650868141.7872162,1325037,1.0
1650868674.3373878,1335042,1.0
1650869234.8522704,1345091,1.0
1650869779.0718021,1355107,1.0
1650870324.6645098,1365117,0.96875
1650870892.1807806,1375151,1.0
1650871427.5653138,1385162,1.0
1650871980.1806285,1395175,1.0
1650872546.643384,1405216,1.0
1650873100.761077,1415243,1.0
1650873604.2141213,1425271,1.0
1650874152.299821,1435272,1.0
1650874693.6170256,1445317,0.96875
1650875193.446028,1455333,1.0
1650875737.60658,1465341,1.0
1650876261.4817364,1475366,1.0
1650876789.8771205,1485378,1.0
1650877331.4737232,1495427,0.96875
