Wall time,Step,Value
1656001343.8747041,35,0.0
1656001736.91463,10049,0.0
1656002143.9331892,20052,0.0
1656002545.4832292,30077,0.0
1656002948.66251,40100,0.0
1656003365.3960516,50130,0.0
1656003782.8597693,60149,0.0
1656004188.460896,70159,0.0
1656004595.3488364,80162,0.0
1656004985.4101844,90190,0.03125
1656005366.3651683,100219,0.4375
1656005734.2521887,110222,0.34375
1656006088.2655044,120236,0.71875
1656006416.7824328,130254,0.8125
1656006759.1429572,140300,0.375
1656007096.9436228,150329,0.59375
1656007424.6963751,160330,0.71875
1656007761.4087098,170341,0.46875
1656008094.3031733,180341,0.46875
1656008424.497113,190355,0.96875
1656008764.7657962,200399,0.8125
1656009087.7712324,210420,0.625
1656009415.351393,220451,0.75
1656009759.7377117,230493,0.78125
1656010092.8669896,240500,0.65625
1656010412.8092887,250512,0.5
1656010739.0136225,260516,0.40625
1656011074.1200008,270566,0.6875
1656011415.7270517,280607,0.75
1656011753.3182845,290651,0.28125
1656012082.7568164,300677,0.78125
1656012410.06315,310698,0.5
1656012746.9456868,320746,0.34375
1656013084.0088744,330778,0.65625
1656013427.090632,340809,0.65625
1656013773.8575237,350855,0.46875
1656014128.8751757,360878,0.65625
1656014465.07654,370900,0.78125
1656014812.694282,380941,0.78125
1656015166.5596921,390972,0.8125
1656015528.328102,401005,0.625
1656015878.2349737,411012,0.78125
1656016229.8451755,421055,0.84375
1656016571.8003294,431061,0.5625
1656016916.4654183,441075,0.65625
1656017272.29282,451082,0.6875
1656017613.4188774,461094,0.78125
1656017957.8641665,471125,0.8125
1656018316.3776698,481153,0.875
1656018670.386133,491163,0.84375
1656019029.9962518,501449,0.875
1656019389.4963477,511483,0.84375
1656019722.0514574,521525,0.8125
1656020086.5165465,531546,0.90625
1656020461.4801056,541587,0.78125
1656020824.1258714,551602,0.9375
1656021183.4264023,561616,0.9375
1656021539.9204066,571646,0.96875
1656021889.9558535,581653,0.90625
1656022227.4263804,591681,0.9375
1656022581.9620354,601700,0.96875
1656022925.1241639,611736,0.90625
1656023291.391514,621739,0.96875
1656023672.9391527,631780,1.0
1656024056.593356,641882,0.8125
1656024452.7994945,651931,0.9375
1656024828.0423253,661979,1.0
1656025186.1167326,672008,0.90625
1656025566.4516094,682014,1.0
1656025943.9531333,692068,0.96875
1656026343.9377146,702080,0.96875
1656026743.3668203,712110,0.90625
1656027116.9804413,722117,0.96875
1656027512.9809327,732156,1.0
1656027904.1417572,742200,1.0
1656028273.1027985,752268,1.0
1656028649.2034147,762275,1.0
1656029019.132313,772285,1.0
1656029422.1211746,782319,0.96875
1656029792.1176877,792327,1.0
1656030168.899226,802369,1.0
1656030558.4778073,812394,0.96875
1656030919.4936795,822418,0.96875
1656031316.2497118,832465,1.0
1656031721.1093035,842482,0.9375
1656032087.5467486,852532,1.0
1656032453.6411357,862569,1.0
1656032826.1352487,872607,1.0
1656033202.7025962,882648,1.0
1656033590.2754042,892659,0.96875
1656033960.4341428,902670,0.96875
1656034346.217175,912692,1.0
1656034720.2851453,922742,1.0
1656035108.3421392,932773,0.96875
1656035471.0962975,942773,1.0
1656035849.8389027,952819,1.0
1656036226.889871,962869,1.0
1656036604.807609,972870,1.0
1656036969.8591619,982915,1.0
1656037344.7482574,992953,1.0
1656037720.8796027,1002955,0.96875
1656038096.6583295,1012976,1.0
1656038461.2530434,1023027,0.96875
1656038850.7954178,1033083,1.0
1656039218.1229212,1043088,1.0
1656039587.6579063,1053116,1.0
1656039965.4373925,1063125,1.0
1656040338.4258957,1073149,0.96875
1656040710.080415,1083156,0.96875
1656041086.4357886,1093161,1.0
1656041426.7877028,1103211,0.96875
1656041761.8951716,1113222,0.9375
1656042153.1762538,1123230,0.96875
1656042530.287988,1133247,1.0
1656042902.7128758,1143261,0.96875
1656043274.282499,1153272,1.0
1656043642.609543,1163298,0.96875
1656044018.4724276,1173332,0.9375
1656044394.2458987,1183339,1.0
1656044767.7008731,1193377,1.0
1656045144.8619795,1203422,1.0
1656045498.3995783,1213448,1.0
1656045877.8878098,1223448,1.0
1656046256.7050116,1233475,1.0
1656046621.5527573,1243494,1.0
1656046989.0304255,1253516,1.0
1656047348.1615124,1263530,1.0
1656047706.4079752,1273554,0.96875
1656048094.3036048,1283595,1.0
1656048465.884398,1293610,0.9375
1656048855.7396636,1303626,1.0
1656049228.8888109,1313664,1.0
1656049587.3829548,1323683,1.0
1656049960.321734,1333687,1.0
1656050330.3608372,1343705,1.0
1656050704.7490408,1353740,1.0
1656051074.2442312,1363747,1.0
1656051456.1488261,1373783,0.9375
1656051812.3306286,1383792,1.0
1656052182.008963,1393813,1.0
1656052545.6530912,1403851,0.96875
1656052912.247129,1413871,1.0
1656053288.8791378,1423905,0.96875
1656053665.7848809,1433936,1.0
1656054031.432581,1443940,1.0
1656054404.7552464,1453977,1.0
1656054765.3221097,1464025,0.96875
1656055127.7262657,1474059,0.96875
1656055491.804428,1484101,0.96875
1656055850.5500624,1494148,1.0
